Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/08/2023,03:44:53,celo,0xb4919e79d0aefbbdf3759a3e5fc8f6d56d2cff087751fa1486aad9ae2c78dc0d,https://celoscan.io/tx/0xb4919e79d0aefbbdf3759a3e5fc8f6d56d2cff087751fa1486aad9ae2c78dc0d,send,0x0356f20234bc49395be12b077d81d8565a1c1527,CELO,-0.15
21/08/2023,02:05:45,xdai,0x39718b7d9054d48361611952ba0518186d5617845f55e089fd647b6cd421700c,https://gnosisscan.io/tx/0x39718b7d9054d48361611952ba0518186d5617845f55e089fd647b6cd421700c,send,0x0356f20234bc49395be12b077d81d8565a1c1527,xDai,-0.08
21/02/2024,16:52:21,matic,0xd04d246fb3f1661c41fd29fd40ee8baac9d7d713d8cfe058934b1c9d116ab456,https://polygonscan.com/tx/0xd04d246fb3f1661c41fd29fd40ee8baac9d7d713d8cfe058934b1c9d116ab456,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-0.858925
21/12/2023,18:24:21,linea,0x9a2bb21504b741ee424e04743b197e6eb9166249a2b2010731db4489a7f44967,https://lineascan.build/tx/0x9a2bb21504b741ee424e04743b197e6eb9166249a2b2010731db4489a7f44967,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.01
19/12/2023,13:39:55,linea,0x5261306f9b90f4bb7a54eb0a73b6b2eee12c745e0ea3ed51748d9a32522c3dd5,https://lineascan.build/tx/0x5261306f9b90f4bb7a54eb0a73b6b2eee12c745e0ea3ed51748d9a32522c3dd5,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,16:47:25,linea,0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,https://lineascan.build/tx/0x10a5076192af749371d98763b0631f6f67e3b3f9e916cbdb6e265056acc1481b,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:43:51,nova,0x440b6cbca5ee5caec08f2d17677f052d1e13061cfd19c6d86808cb5bc6b0bf82,https://nova.arbiscan.io/tx/0x440b6cbca5ee5caec08f2d17677f052d1e13061cfd19c6d86808cb5bc6b0bf82,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.001875747744395355
09/12/2023,13:00:49,linea,0x49b066e410de88e80c8d912a9a015ee46594c34e4898434fdb677e1481a5f4f6,https://lineascan.build/tx/0x49b066e410de88e80c8d912a9a015ee46594c34e4898434fdb677e1481a5f4f6,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,wstETH,-0.0113062558430122
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0x2e6ad2f8cff0b63b35e04feae3037274725401f40153d434ac4f41005efe1e79,https://polygonscan.com/tx/0x2e6ad2f8cff0b63b35e04feae3037274725401f40153d434ac4f41005efe1e79,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
21/08/2023,03:46:28,celo,0x568ff199ed37498a828c2d21247e4bb35e3e4c688ccb000c551e19029f5eeae0,https://celoscan.io/tx/0x568ff199ed37498a828c2d21247e4bb35e3e4c688ccb000c551e19029f5eeae0,send,0x0dd256aec2bc702ba1823aedd5625b7ab9f26dc5,CELO,-0.15
21/08/2023,02:07:20,xdai,0x8bdd8727c9fae09f1215964a7adbcea00eac6cb31b33fa7085dfc1d9690cf8f2,https://gnosisscan.io/tx/0x8bdd8727c9fae09f1215964a7adbcea00eac6cb31b33fa7085dfc1d9690cf8f2,send,0x0dd256aec2bc702ba1823aedd5625b7ab9f26dc5,xDai,-0.07
21/08/2023,03:53:53,celo,0x41629738be73be0de0881a0d3aa060b48157d164987eb3cbe11ca343f4915605,https://celoscan.io/tx/0x41629738be73be0de0881a0d3aa060b48157d164987eb3cbe11ca343f4915605,send,0x1bca3096c5d9f688c45aa0faa5976fd07c17661f,CELO,-0.15
22/11/2023,05:25:37,op,0x81193129c6ccd073f723f98772c6ddbc7e844808e1e30b8b50278fbe04d1e08e,https://optimistic.etherscan.io/tx/0x81193129c6ccd073f723f98772c6ddbc7e844808e1e30b8b50278fbe04d1e08e,receive,0x1ea337e5d1a7f5e000206ad662e9c921dca2c099,ETH,0.5543
27/07/2023,02:55:17,dfk,0xbe310cc8477d313585d8519c2a1f88ab24d988694b0c9a81ef6e006832969e45,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xbe310cc8477d313585d8519c2a1f88ab24d988694b0c9a81ef6e006832969e45,send,0x2c8dbd977dea3dc879f7b5b08d6b4c3ce117f61c,JEWEL,-1
25/07/2023,22:51:45,dfk,0x07e64d143c126013fc934f9c8c372c40c130a6eb954684a779b8cfc17289b96f,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x07e64d143c126013fc934f9c8c372c40c130a6eb954684a779b8cfc17289b96f,send,0x2c8dbd977dea3dc879f7b5b08d6b4c3ce117f61c,DFKGOLD,-10
27/07/2023,02:54:37,dfk,0xc7c15c4830fe4ccd3bbb68301320eaaedf764d8398fd2f3e6fd3e61a09a7fa04,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xc7c15c4830fe4ccd3bbb68301320eaaedf764d8398fd2f3e6fd3e61a09a7fa04,send,0x338528494c77a8b84e103c91e172555d1531a468,JEWEL,-1
25/07/2023,22:50:33,dfk,0xa9e4230255ad9394ff19627cc8b0e91629242f71b06cc914641a0b56d3fb2f64,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xa9e4230255ad9394ff19627cc8b0e91629242f71b06cc914641a0b56d3fb2f64,send,0x338528494c77a8b84e103c91e172555d1531a468,DFKGOLD,-10
21/08/2023,03:42:38,celo,0x7f7a1de607268997069c13c2948ca8fdd190a9410df873961a836a03aff58d85,https://celoscan.io/tx/0x7f7a1de607268997069c13c2948ca8fdd190a9410df873961a836a03aff58d85,send,0x36710cb2328cb0455089101ac07d2bed6f8e4e6d,CELO,-0.15
21/08/2023,02:01:50,xdai,0x4c1d9c3b7e617e8ba9021e11a60e59ebd8df3849dcb0f71170132ca2aeeb406d,https://gnosisscan.io/tx/0x4c1d9c3b7e617e8ba9021e11a60e59ebd8df3849dcb0f71170132ca2aeeb406d,send,0x36710cb2328cb0455089101ac07d2bed6f8e4e6d,xDai,-0.08
27/07/2023,02:53:23,dfk,0xcdc46c7535ec20b0b404f32cb1fb4c8279129d535cdf9d32d47b3c58d2cc8758,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0xcdc46c7535ec20b0b404f32cb1fb4c8279129d535cdf9d32d47b3c58d2cc8758,send,0x3697c2c636fedd25c27d809627920e23a72431af,JEWEL,-1
25/07/2023,21:03:43,dfk,0x6d4d303c7d526ce1ce6d294d46aa3582919498596042198c14896072e53bad60,https://subnets.avax.network/defi-kingdoms/dfk-chain/explorer/tx/0x6d4d303c7d526ce1ce6d294d46aa3582919498596042198c14896072e53bad60,send,0x3697c2c636fedd25c27d809627920e23a72431af,DFKGOLD,-10
12/04/2023,18:35:16,bsc,0xf90b4117bddec75590ce820fac303f1bd8bae23959f7120f48be65fadb00c475,https://bscscan.com/tx/0xf90b4117bddec75590ce820fac303f1bd8bae23959f7120f48be65fadb00c475,send,0x3697c2c636fedd25c27d809627920e23a72431af,BNB,-0.026512
21/08/2023,01:33:40,xdai,0x8cfeee59637d9270debb0c7d2562587bfa079d1bb3e5b0d54997e995a5257d60,https://gnosisscan.io/tx/0x8cfeee59637d9270debb0c7d2562587bfa079d1bb3e5b0d54997e995a5257d60,send,0x4dfcf5eef0ba9646e281314773ffff8581af4112,xDai,-0.08
