Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
16/10/2022,05:37:59,bsc,0xb76626d412549c57a5be6b26c53ae4c0b2b47c9091225f0d81c3fae8687a8f05,https://bscscan.com/tx/0xb76626d412549c57a5be6b26c53ae4c0b2b47c9091225f0d81c3fae8687a8f05,receive,0x008c9fb0d50bd10737c648106e8d6e497461f5c8,BNB,0.00053477
11/01/2024,05:02:49,manta,0xd25b247d7403eaf032b17398cccd0b8a93e9bf7a73051352eeedad94c03ebdaa,https://pacific-explorer.manta.network/tx/0xd25b247d7403eaf032b17398cccd0b8a93e9bf7a73051352eeedad94c03ebdaa,send,0x068a73836e0b82c78e44a38af28e8d0f5d779eb8,ETH,-0.000262065899922883
16/10/2022,04:54:56,bsc,0xac88ed4fbb77afc75c5b2a572361801d7c798b1cbd4e25fa40648ab499777d07,https://bscscan.com/tx/0xac88ed4fbb77afc75c5b2a572361801d7c798b1cbd4e25fa40648ab499777d07,receive,0x08b4e3078c44df73f94b3edce86e8b433cd032cd,BNB,0.00086103
16/10/2022,04:54:35,bsc,0xd9f32d6d10d44142e90c2fa70436ae57ec69f6dcf0c9c89062c5a3c1bbdb44ee,https://bscscan.com/tx/0xd9f32d6d10d44142e90c2fa70436ae57ec69f6dcf0c9c89062c5a3c1bbdb44ee,receive,0x08b4e3078c44df73f94b3edce86e8b433cd032cd,bXEN,58509
07/10/2022,13:16:23,eth,0xb3a0399c0e243e8462f5abdf5079729a61c4eb35ff87ed8f171b1ba8eeffee3f,https://etherscan.io/tx/0xb3a0399c0e243e8462f5abdf5079729a61c4eb35ff87ed8f171b1ba8eeffee3f,send,0x08b4e3078c44df73f94b3edce86e8b433cd032cd,ETH,-0.0045
16/10/2022,04:46:46,bsc,0xa372aa94aeefa26740f6a9f76c1118edfdcedce61a204e60cf14ba8dd0143b5b,https://bscscan.com/tx/0xa372aa94aeefa26740f6a9f76c1118edfdcedce61a204e60cf14ba8dd0143b5b,receive,0x1ea3c3daffd8256b9df7f0343fb64036139ea92f,BNB,0.00086103
16/10/2022,04:46:13,bsc,0x1db1c6f25188d505ceeecd620442f8c91862962fc3c023aa66ecd5a0714c3b68,https://bscscan.com/tx/0x1db1c6f25188d505ceeecd620442f8c91862962fc3c023aa66ecd5a0714c3b68,receive,0x1ea3c3daffd8256b9df7f0343fb64036139ea92f,bXEN,59413
07/10/2022,05:15:23,eth,0x90f2516680e8a53935a36a827c2045042ddae8400f864e4e73a685ef6ca03984,https://etherscan.io/tx/0x90f2516680e8a53935a36a827c2045042ddae8400f864e4e73a685ef6ca03984,send,0x1ea3c3daffd8256b9df7f0343fb64036139ea92f,ETH,-0.004
20/03/2024,05:00:05,op,0x41f920ed997889b2ba74e82c2e1309d597cc7e3fb3fbf20503ecfb46b9c1ed10,https://optimistic.etherscan.io/tx/0x41f920ed997889b2ba74e82c2e1309d597cc7e3fb3fbf20503ecfb46b9c1ed10,receive,0x2372b475220680cc0959c509417f8cd262f91be0,ETH,0.0010017
19/03/2024,17:03:35,bsc,0x52672feae9369ec0cdd70084952bcde0618105ad7396495cb9cf3683ed0dadc5,https://bscscan.com/tx/0x52672feae9369ec0cdd70084952bcde0618105ad7396495cb9cf3683ed0dadc5,receive,0x2372b475220680cc0959c509417f8cd262f91be0,BNB,0.009563131
10/01/2024,03:14:51,arb,0xc9ba2e463de79e98febba0cda203091897b65d9478c747b56292ff02c673fc73,https://arbiscan.io/tx/0xc9ba2e463de79e98febba0cda203091897b65d9478c747b56292ff02c673fc73,send,0x2372b475220680cc0959c509417f8cd262f91be0,ETH,-0.000507001562057037
29/12/2023,04:35:13,linea,0x3885e05f13254cc69c253bfd91acd5202d28e7f087c16b82acd3759fe1b3b479,https://lineascan.build/tx/0x3885e05f13254cc69c253bfd91acd5202d28e7f087c16b82acd3759fe1b3b479,send,0x2372b475220680cc0959c509417f8cd262f91be0,ETH,-0.000363598273766269
