Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
27/04/2022,02:51:18,matic,0xcfde758a1e1b055d610b7f7015053c54d7100d4fec6d340e256dda3dd9054dc8,https://polygonscan.com/tx/0xcfde758a1e1b055d610b7f7015053c54d7100d4fec6d340e256dda3dd9054dc8,receive,0x0092e3178341613b7d7983839ddc07e934fff399,DGI,1
11/04/2022,15:34:31,bsc,0x9da2da8f02a2b16e4743114c6f37e2eb2bf3be069f6caaadb925cb028e52fad8,https://bscscan.com/tx/0x9da2da8f02a2b16e4743114c6f37e2eb2bf3be069f6caaadb925cb028e52fad8,receive,0x03bb74c32acb025effab4d31e579d3751363c216,BUSD,1000
26/06/2023,20:12:35,eth,0x3a5c042a5718934af264acec8689ce3dd71f00c00bd08ece49639c71b9048627,https://etherscan.io/tx/0x3a5c042a5718934af264acec8689ce3dd71f00c00bd08ece49639c71b9048627,send,0x11868838905f369974f391bfe246f4c2a38a3f6f,ETH,-0.06
26/06/2023,19:03:40,arb,0x106d40ae9dea708f331f154dbb4027858d8ca00a001a1c69fd7187612bdcccf1,https://arbiscan.io/tx/0x106d40ae9dea708f331f154dbb4027858d8ca00a001a1c69fd7187612bdcccf1,send,0x11868838905f369974f391bfe246f4c2a38a3f6f,ETH,-0.069852
21/09/2021,01:44:59,bsc,0xfbeb7d9009aad50bf768742ba01b17b5f08f2c0f8b2495de0a34eda27f75ea72,https://bscscan.com/tx/0xfbeb7d9009aad50bf768742ba01b17b5f08f2c0f8b2495de0a34eda27f75ea72,receive,0x299885ebca63b4d3b50ed3a0d18907267e2bf851,USDC,32.650926541308266
20/09/2021,09:33:34,matic,0x981c48436656c9be963b49f9a432c29eaecc9eb476ea1ffb591922be8bd83026,https://polygonscan.com/tx/0x981c48436656c9be963b49f9a432c29eaecc9eb476ea1ffb591922be8bd83026,send,0x299885ebca63b4d3b50ed3a0d18907267e2bf851,MATIC,-2
20/09/2021,09:33:11,bsc,0xe2a8831727d70cd895674a35e2fd6e779e8376059ed314a6dbeb1d6709dab14d,https://bscscan.com/tx/0xe2a8831727d70cd895674a35e2fd6e779e8376059ed314a6dbeb1d6709dab14d,receive,0x299885ebca63b4d3b50ed3a0d18907267e2bf851,BNB,0.02
20/09/2021,09:32:26,matic,0x489e3d4fcb27b25c598b33fcfa53e131fa2b7d7b0b11b9275516df1f249078c5,https://polygonscan.com/tx/0x489e3d4fcb27b25c598b33fcfa53e131fa2b7d7b0b11b9275516df1f249078c5,send,0x299885ebca63b4d3b50ed3a0d18907267e2bf851,MATIC,-1
20/09/2021,09:21:05,bsc,0x53b65aaba3ef50d832587cd7c4bb141cf607c5834974b252b60b688d18ab505b,https://bscscan.com/tx/0x53b65aaba3ef50d832587cd7c4bb141cf607c5834974b252b60b688d18ab505b,send,0x299885ebca63b4d3b50ed3a0d18907267e2bf851,BNB,-0.02
20/09/2021,02:07:56,bsc,0x3665cd7f6429bf3d0e7adfaa4599e93c0e0e9f5338c60e95f556fe818cfc5e2f,https://bscscan.com/tx/0x3665cd7f6429bf3d0e7adfaa4599e93c0e0e9f5338c60e95f556fe818cfc5e2f,send,0x299885ebca63b4d3b50ed3a0d18907267e2bf851,BNB,-0.09
07/12/2021,22:35:08,bsc,0x9984ca6ca2a973b9fbe952761dbc2735afdfd82e6e4939dbe7eea9cb1f618447,https://bscscan.com/tx/0x9984ca6ca2a973b9fbe952761dbc2735afdfd82e6e4939dbe7eea9cb1f618447,receive,0x301b6444fc9599cec0872b76f8187d5aa643640d,BABY,5
28/04/2022,00:24:20,matic,0x711399279ba820e366a46fcf9bcaddb845cbe1bc7e69f91585aee9457999e2fe,https://polygonscan.com/tx/0x711399279ba820e366a46fcf9bcaddb845cbe1bc7e69f91585aee9457999e2fe,receive,0x3426db0a27c22e499a777b8d3077a5d6a94aab39,DGI,1
28/04/2022,00:22:48,matic,0x56ff51cf2a06fe123ba6cca56cc8ffbbf67f3abdedf57637b985c57c1a359891,https://polygonscan.com/tx/0x56ff51cf2a06fe123ba6cca56cc8ffbbf67f3abdedf57637b985c57c1a359891,receive,0x3426db0a27c22e499a777b8d3077a5d6a94aab39,DGI,1
16/03/2023,23:11:13,arb,0xf3ba0fab83011788d4561ee672b2e080c9c214acbbabf660561485ea3d503833,https://arbiscan.io/tx/0xf3ba0fab83011788d4561ee672b2e080c9c214acbbabf660561485ea3d503833,receive,0x4257886f06a1d92537ba5dfa6e4a2e6d9736f6d0,ETH,0.01235
28/04/2022,02:30:21,matic,0x83fcc7a3f79e323b51c1c81b43fc5c96f4393ece227eadf366e1222145e43ad0,https://polygonscan.com/tx/0x83fcc7a3f79e323b51c1c81b43fc5c96f4393ece227eadf366e1222145e43ad0,receive,0x59fb5f7070a097ed3aa8ac7ecde1459d69ba547a,DGI,1
28/04/2022,02:24:09,matic,0x12e3af81126cce1c3cce73a8c46188f21ff784f231467326c64f0cc4239cfab0,https://polygonscan.com/tx/0x12e3af81126cce1c3cce73a8c46188f21ff784f231467326c64f0cc4239cfab0,receive,0x59fb5f7070a097ed3aa8ac7ecde1459d69ba547a,DGI,1
11/04/2022,02:33:44,bsc,0xa6c36804185419c0b0643abd8251988916cd09b9d001362fa11b264abb402b49,https://bscscan.com/tx/0xa6c36804185419c0b0643abd8251988916cd09b9d001362fa11b264abb402b49,receive,0x5d049bc0947673b6617a7f7e122b4e3deecc88ff,BUSD,1000
03/03/2022,23:24:00,bsc,0x6c91578c1d906e703e3a18540765e32b2598560e0c6d6185c8b008a648fc2f36,https://bscscan.com/tx/0x6c91578c1d906e703e3a18540765e32b2598560e0c6d6185c8b008a648fc2f36,send,0x5d049bc0947673b6617a7f7e122b4e3deecc88ff,AMC,-1
12/02/2022,01:44:35,bsc,0x3ebb0b29ed35e1395810962144f51918dec128c04720b117482f5ecc1cdf4cfe,https://bscscan.com/tx/0x3ebb0b29ed35e1395810962144f51918dec128c04720b117482f5ecc1cdf4cfe,receive,0x5d049bc0947673b6617a7f7e122b4e3deecc88ff,USDT,495
23/03/2024,07:08:11,eth,0xb10f439167f45a59f7424cd60201ea36f1969d244d73d9486ea12edcab0c23df,https://etherscan.io/tx/0xb10f439167f45a59f7424cd60201ea36f1969d244d73d9486ea12edcab0c23df,send,0x61452293fca52e1834840f554e9c4e64587acbe0,ETH,-0.01
