Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
09/03/2024,14:23:50,linea,0xa0b2631ef35786416554f30b2eec6585f46016f348265008179c0a7f186e8129,https://lineascan.build/tx/0xa0b2631ef35786416554f30b2eec6585f46016f348265008179c0a7f186e8129,send,0x048428338774b8e2621ccf12137efb4cd8d350bf,ETH,-0.0000025
05/02/2023,10:48:26,op,0x991568e1cf4f8c977fdd11c9cc346e879a57ed794592063567ec10ff8b0edad7,https://optimistic.etherscan.io/tx/0x991568e1cf4f8c977fdd11c9cc346e879a57ed794592063567ec10ff8b0edad7,receive,0x048428338774b8e2621ccf12137efb4cd8d350bf,ETH,0.0012
04/02/2023,11:20:23,arb,0xa53cd5e17eea00ddbef50112cb8fb0f92cbe2491cb433b8d97c69f9c1a2c1b33,https://arbiscan.io/tx/0xa53cd5e17eea00ddbef50112cb8fb0f92cbe2491cb433b8d97c69f9c1a2c1b33,send,0x048428338774b8e2621ccf12137efb4cd8d350bf,ETH,-0.0061
31/01/2023,12:01:46,arb,0xc677f55081f3843bcc61b86073d2678077c5e61ab21640534cadde56491c6bac,https://arbiscan.io/tx/0xc677f55081f3843bcc61b86073d2678077c5e61ab21640534cadde56491c6bac,send,0x048428338774b8e2621ccf12137efb4cd8d350bf,ETH,-0.0064
27/01/2023,11:58:23,eth,0xf992844e44a3ad2675204a420d2d87773f7a230caeb347874f06b91ff7b7cd6b,https://etherscan.io/tx/0xf992844e44a3ad2675204a420d2d87773f7a230caeb347874f06b91ff7b7cd6b,send,0x048428338774b8e2621ccf12137efb4cd8d350bf,GTC,-109
27/01/2023,11:49:23,eth,0x2304c6cbbfbdc5f8aa9053df7576ef7e81454f22ffe46b2b70596146bcb44b34,https://etherscan.io/tx/0x2304c6cbbfbdc5f8aa9053df7576ef7e81454f22ffe46b2b70596146bcb44b34,send,0x048428338774b8e2621ccf12137efb4cd8d350bf,GTC,-11
15/01/2023,13:00:28,arb,0xe591fb37d0693bb52787e77e22606c73e903feb81680d3e9fd37f444aafd976c,https://arbiscan.io/tx/0xe591fb37d0693bb52787e77e22606c73e903feb81680d3e9fd37f444aafd976c,send,0x095489568b008c47c2aa00889970acd183501a51,ETH,-0.002
25/02/2023,14:48:56,op,0x0d6dd0b5ab1719820f0cbf6acfbaa5d6af62c481cd9db276b428028deb37334d,https://optimistic.etherscan.io/tx/0x0d6dd0b5ab1719820f0cbf6acfbaa5d6af62c481cd9db276b428028deb37334d,send,0x0c13f538bb4b55819b470835f067b1476b9223c2,USDC,-5
15/01/2023,12:59:06,arb,0x0b8518a7f484f9998dc56ff2dcb8cb8b4093743d8c2db6485d5f19479dcafdbd,https://arbiscan.io/tx/0x0b8518a7f484f9998dc56ff2dcb8cb8b4093743d8c2db6485d5f19479dcafdbd,send,0x12b695e19bde9e0fecec5feed75a4b37bb61ebc7,ETH,-0.002
15/01/2023,14:19:52,arb,0x27bcf6557f3c21b01d4e51f1dae1f5f04712130e46c7fd23d5fb0ce0fb8a0964,https://arbiscan.io/tx/0x27bcf6557f3c21b01d4e51f1dae1f5f04712130e46c7fd23d5fb0ce0fb8a0964,send,0x154b5d681777cffb77e191618cbf5fe93346fbf7,ETH,-0.002
15/01/2023,12:49:46,arb,0xf57ff08f66ce1a23022018ae42c1133f4f1fea59bd450916eb08720a5479da2f,https://arbiscan.io/tx/0xf57ff08f66ce1a23022018ae42c1133f4f1fea59bd450916eb08720a5479da2f,send,0x17a17274033cd779fda07173f13a43978404ab8e,ETH,-0.002
15/01/2023,12:58:39,arb,0xd93723447d231673be3521bd49f1202aaee8aa8ac17ebdf34bd4b00905ddf99e,https://arbiscan.io/tx/0xd93723447d231673be3521bd49f1202aaee8aa8ac17ebdf34bd4b00905ddf99e,send,0x2093d1d590ac0c23c9049a9284fa117ee8ce4864,ETH,-0.002
15/01/2023,14:25:44,arb,0x5e9e05df3b12f69d99c6b7d6ff336b282570b83df4c8eb2bce020d7857793c5c,https://arbiscan.io/tx/0x5e9e05df3b12f69d99c6b7d6ff336b282570b83df4c8eb2bce020d7857793c5c,send,0x23713b8033d058bf06aeef1ac31f598fd6e63670,ETH,-0.002
27/01/2023,10:28:23,eth,0x14f11979c52f7f96a4dfd412a579a8a0b40f1c6f9e2810e9b3524010c4a7a975,https://etherscan.io/tx/0x14f11979c52f7f96a4dfd412a579a8a0b40f1c6f9e2810e9b3524010c4a7a975,receive,0x2376302206e37fa046a35976e560083c44f00d86,ETH,0.06378
25/02/2023,14:45:56,op,0x0f98210314bdb58fbcabce290a4050f4585f5310ed2acdd11b1f839b67bec530,https://optimistic.etherscan.io/tx/0x0f98210314bdb58fbcabce290a4050f4585f5310ed2acdd11b1f839b67bec530,send,0x24bf3d67206cfd6d848ae813891d18da22b9f702,USDC,-5
30/05/2023,01:04:15,arb,0xe98f99ba7c810b03701dcf5b6c08af1fb4737e2ce029109880428068bb28d55a,https://arbiscan.io/tx/0xe98f99ba7c810b03701dcf5b6c08af1fb4737e2ce029109880428068bb28d55a,send,0x291c9bb26231d8eb764a2bd9012ceabf5bc231f4,ETH,-0.025
25/02/2023,14:38:25,op,0x3162a81fe7c9adbc3448f896921abd742295bf6f9390460f061665d8fa5e7982,https://optimistic.etherscan.io/tx/0x3162a81fe7c9adbc3448f896921abd742295bf6f9390460f061665d8fa5e7982,send,0x2930388b0b1616f7d7a300daedaa06a41bfc8d34,USDC,-5
25/02/2023,14:45:25,op,0xdd96b601bce178a499aa0cf3eed5687cefc97e1484e7aa7087a09de2f80f68b8,https://optimistic.etherscan.io/tx/0xdd96b601bce178a499aa0cf3eed5687cefc97e1484e7aa7087a09de2f80f68b8,send,0x29d3d1d638b99e6054c31fda496f74a8dd20c505,USDC,-5
27/01/2023,10:31:35,eth,0x126fd97d35e5a885007a0e6860c3795ec54e11c3daedbf65a1a84acec353b35d,https://etherscan.io/tx/0x126fd97d35e5a885007a0e6860c3795ec54e11c3daedbf65a1a84acec353b35d,receive,0x29f6285614605f09ebcc959c77ee0844fcff65ce,ETH,0.0638
25/02/2023,14:44:40,op,0x0dfc62c6564fd8f421f33d64d32108e78f06f30c08e43f14dae428079688475e,https://optimistic.etherscan.io/tx/0x0dfc62c6564fd8f421f33d64d32108e78f06f30c08e43f14dae428079688475e,send,0x30a2d601fcc5ddcbfdd7b30d9f0b0d7e41a58e53,USDC,-5
15/01/2023,12:59:34,arb,0xd059b5f6cfc8c8a18b1777e7a387171436822161d2ef1199a772846bef1021da,https://arbiscan.io/tx/0xd059b5f6cfc8c8a18b1777e7a387171436822161d2ef1199a772846bef1021da,send,0x312031f29f93188e7a8405632ea50bbde00831d9,ETH,-0.002
15/01/2023,12:55:02,arb,0x094b4299afb91309ca7ef707febddbcacb5ef5646020b07775a5b0b2139ebd60,https://arbiscan.io/tx/0x094b4299afb91309ca7ef707febddbcacb5ef5646020b07775a5b0b2139ebd60,send,0x31cfbba06b27a3ea774966f4816144c063d243a7,ETH,-0.002
25/02/2023,14:37:54,op,0x76de01b463ece9ff3cf822fc9b49dbfc500fe663c8d074f6480fc2800e6e0064,https://optimistic.etherscan.io/tx/0x76de01b463ece9ff3cf822fc9b49dbfc500fe663c8d074f6480fc2800e6e0064,send,0x32f726f67755fd822a80a25f2ae3ac4f43096efb,USDC,-5
15/01/2023,12:59:19,arb,0x6e8180f6bb02c6bb63dced74ce4ea6c2118074454e66bff7cdd89434b3cf3f6f,https://arbiscan.io/tx/0x6e8180f6bb02c6bb63dced74ce4ea6c2118074454e66bff7cdd89434b3cf3f6f,send,0x330267cdf8e6788699ae8fb5dfc9a512d5474555,ETH,-0.002
25/02/2023,14:52:28,op,0xc0e4d7d2a478aa8555dc7fcfa27c1274e716b5822fe7838be29d66164305ff54,https://optimistic.etherscan.io/tx/0xc0e4d7d2a478aa8555dc7fcfa27c1274e716b5822fe7838be29d66164305ff54,send,0x34530681baf877aa0df6563c2ec446950d3ff6be,USDC,-5
15/01/2023,14:22:13,arb,0x623ba4f3c8c7f8d2194f66e8756db3e9036617b7be0e9e59720427f157951953,https://arbiscan.io/tx/0x623ba4f3c8c7f8d2194f66e8756db3e9036617b7be0e9e59720427f157951953,send,0x345e124438dc3685fdd7f00bb9eb28abf3d710f1,ETH,-0.002
15/01/2023,13:57:26,arb,0x0e33331f435c28dab442a02d492a704f595b0247d92027ee64380304c5ef6cb8,https://arbiscan.io/tx/0x0e33331f435c28dab442a02d492a704f595b0247d92027ee64380304c5ef6cb8,send,0x3745c15723cbc10f4c823ca7471a57ff808d5ba2,ETH,-0.002
15/01/2023,14:24:55,arb,0xeb25779e89cad9c6e49edd8df5dd5ea9d67c4b1a73e4afa8988d05c67aa33a55,https://arbiscan.io/tx/0xeb25779e89cad9c6e49edd8df5dd5ea9d67c4b1a73e4afa8988d05c67aa33a55,send,0x39bd83aa164e1bbbf6859fa817d5ac8975b4bd1b,ETH,-0.002
15/01/2023,14:19:28,arb,0x05ba167a54eed52435ea4c0e6c0396260f518722184c7aece60fa330a2fc25b8,https://arbiscan.io/tx/0x05ba167a54eed52435ea4c0e6c0396260f518722184c7aece60fa330a2fc25b8,send,0x39cd3f68fbcaec1790356e0a8df1d5b13531c2ed,ETH,-0.002
15/01/2023,12:57:42,arb,0xe20576e3eb63e6a8731f9b6eb642e7838aee8b940d27fa802b9fcf3219c85d55,https://arbiscan.io/tx/0xe20576e3eb63e6a8731f9b6eb642e7838aee8b940d27fa802b9fcf3219c85d55,send,0x3d611ba4d1adb393823f81ce864a2efc5f315e41,ETH,-0.002
25/02/2023,14:52:13,op,0x7c386af99f38f46e247ba0e297e49811c9ef793fce438df9e28e05ffe9c47c45,https://optimistic.etherscan.io/tx/0x7c386af99f38f46e247ba0e297e49811c9ef793fce438df9e28e05ffe9c47c45,send,0x40d9e87c054f90b3ff1444eed1d9a1d84d3f96a2,USDC,-5
15/01/2023,12:58:06,arb,0x8a525260eea8a5e2e413b81083b19a1a3368009d59a29a6a544c6e9c32e689e1,https://arbiscan.io/tx/0x8a525260eea8a5e2e413b81083b19a1a3368009d59a29a6a544c6e9c32e689e1,send,0x40fa561d424307f57693baa1ec61e4a508d74277,ETH,-0.002
15/01/2023,14:22:57,arb,0xbd928c28ff6f243a5a8f2e9bb5e780811ab3814ee3e2adb944820b67d79b4291,https://arbiscan.io/tx/0xbd928c28ff6f243a5a8f2e9bb5e780811ab3814ee3e2adb944820b67d79b4291,send,0x44d0589699c756b8c1c57c0cfe4c7f9a7cb9b5ec,ETH,-0.002
25/02/2023,14:47:26,op,0x43dbf732be4c830b582108907958fbc298944cf559453c8def7c97964b89679c,https://optimistic.etherscan.io/tx/0x43dbf732be4c830b582108907958fbc298944cf559453c8def7c97964b89679c,send,0x44f03f21b93aad57a0f18d2200dde5b1937c5e6e,USDC,-5
15/01/2023,13:00:03,arb,0xe6ec0741cdfcdf009a28a42e9392f0e1f0ccf7bf783cb7083ec618cf4d696a9d,https://arbiscan.io/tx/0xe6ec0741cdfcdf009a28a42e9392f0e1f0ccf7bf783cb7083ec618cf4d696a9d,send,0x46bfb73d6c0ec176ab4e94ba214b734a3f9fc79d,ETH,-0.002
15/01/2023,14:27:25,arb,0x9a7391989d499cd0e21efe3e037052f31852251bfdd633b827f2584dc323bf08,https://arbiscan.io/tx/0x9a7391989d499cd0e21efe3e037052f31852251bfdd633b827f2584dc323bf08,send,0x4fba2b740744c257f7fe9a44c2e2b5035eb3936c,ETH,-0.002
17/08/2023,18:57:18,celo,0x3286a529531f65185b7ffe8d8a4b715d2a7230536db4ec406e0d9f5cdb4671ab,https://celoscan.io/tx/0x3286a529531f65185b7ffe8d8a4b715d2a7230536db4ec406e0d9f5cdb4671ab,send,0x4fd128cbfb4bc7d1209b5047a63be4ec93bea3d2,CELO,-1.9168711120745603
17/08/2023,18:56:59,matic,0x357ef6d680deef0ab030cc7b2f53c6bc2226d7efc9ee79f6e532128b5ee26f35,https://polygonscan.com/tx/0x357ef6d680deef0ab030cc7b2f53c6bc2226d7efc9ee79f6e532128b5ee26f35,send,0x4fd128cbfb4bc7d1209b5047a63be4ec93bea3d2,MATIC,-6
25/02/2023,14:53:43,op,0xa5c683bfea63a704c825c7b139cebf58f9834544757d3c0aff1997334c937378,https://optimistic.etherscan.io/tx/0xa5c683bfea63a704c825c7b139cebf58f9834544757d3c0aff1997334c937378,send,0x529bb61fc6c0558d826ecb853385b476d5bfde6e,USDC,-5
08/12/2023,15:29:43,linea,0xf38b7314d3b3177818a56235ef98890b3ae53bea806a26bd90fb330b44e2dea9,https://lineascan.build/tx/0xf38b7314d3b3177818a56235ef98890b3ae53bea806a26bd90fb330b44e2dea9,receive,0x541c7ad002b24e79ea62eaa183bd57e9a4be0fbc,ETH,0.014
07/12/2023,23:30:07,linea,0x669384a0e34ec1e15d564f30d1b6e56655b418123e0653f733d8a80dda8f5afd,https://lineascan.build/tx/0x669384a0e34ec1e15d564f30d1b6e56655b418123e0653f733d8a80dda8f5afd,receive,0x541c7ad002b24e79ea62eaa183bd57e9a4be0fbc,ETH,0.006
25/02/2023,14:50:13,op,0x169b22b77e3263a4bd8e18a1e02aae10e679091e26210b7c4c9088b87e9a1aa6,https://optimistic.etherscan.io/tx/0x169b22b77e3263a4bd8e18a1e02aae10e679091e26210b7c4c9088b87e9a1aa6,send,0x54dc6b67c25741133f1a32547a7d599effb81cac,USDC,-5
15/01/2023,12:59:50,arb,0xdfedf1e3c4bee6c4a6d2b900d6cb59be923eebe0df3c2785d702a2f96023f0ad,https://arbiscan.io/tx/0xdfedf1e3c4bee6c4a6d2b900d6cb59be923eebe0df3c2785d702a2f96023f0ad,send,0x554cea11f14ffa6138f882dcd18c76856e8c87a7,ETH,-0.002
25/02/2023,14:54:13,op,0xef2228c396187ae6f1915ecd6c4c7395a71b0a8f9cb8103398cb9aff9a0d4008,https://optimistic.etherscan.io/tx/0xef2228c396187ae6f1915ecd6c4c7395a71b0a8f9cb8103398cb9aff9a0d4008,send,0x599ea2de745063c7f7f6585152c76ac4deea6a39,USDC,-5
25/02/2023,14:51:13,op,0xa493b118f178f03795ab4ae60e94767d72127194b0b45c3b4cf5ae7c7032119f,https://optimistic.etherscan.io/tx/0xa493b118f178f03795ab4ae60e94767d72127194b0b45c3b4cf5ae7c7032119f,send,0x5b1f147084148852aad1ef68da216f3d60123ee3,USDC,-5
25/02/2023,14:48:26,op,0x983d7838ab6179e0b1cb491a9cb3b840c3b2ab6707a995182edbdd68576b0dc9,https://optimistic.etherscan.io/tx/0x983d7838ab6179e0b1cb491a9cb3b840c3b2ab6707a995182edbdd68576b0dc9,send,0x5dd2aec903b53f1dda6cf49aeb414a7a9929243c,USDC,-5
15/01/2023,14:21:44,arb,0xc3b43c3962333b8ad1709b8a254f02fb138b5407b5b521613269a7556fe2d6c1,https://arbiscan.io/tx/0xc3b43c3962333b8ad1709b8a254f02fb138b5407b5b521613269a7556fe2d6c1,send,0x60a52918ede76e23762eb38082baf0f42e4b913b,ETH,-0.002
25/02/2023,14:24:48,op,0xa1b754c51c787b913555339d239b0b71a51c60bb06a7a1a94a45e1cfb867f6d0,https://optimistic.etherscan.io/tx/0xa1b754c51c787b913555339d239b0b71a51c60bb06a7a1a94a45e1cfb867f6d0,send,0x62213684e0335da61f03947e795ce8d34332a49a,USDC,-5
15/01/2023,14:21:11,arb,0xe2aa8d4ac8e1333df432473e226e39708e71a65f6f48f5b53542545c78789f6a,https://arbiscan.io/tx/0xe2aa8d4ac8e1333df432473e226e39708e71a65f6f48f5b53542545c78789f6a,send,0x6494cee19a7b7d4a36af9c2ca8f20c70d07c17b5,ETH,-0.002
25/02/2023,14:53:13,op,0x6293be6369db538854ad271880baec798e641eddc40c0385d19f90ea97ab75bf,https://optimistic.etherscan.io/tx/0x6293be6369db538854ad271880baec798e641eddc40c0385d19f90ea97ab75bf,send,0x66c0d49958e25af80bbad3577cc35ce51b353ea9,USDC,-5
15/01/2023,14:21:19,arb,0x5880d320372b224d6926e9816a56f918ba0bc3611dd57382c1246097112c7caa,https://arbiscan.io/tx/0x5880d320372b224d6926e9816a56f918ba0bc3611dd57382c1246097112c7caa,send,0x6873071e375e3a7f1cac6e02d9aaae41712e5ad8,ETH,-0.002
25/02/2023,14:38:40,op,0xfa0e4ff71cdd2f73826b3e6f41b48cc31fadcfbe29b38318e0d077a9e62bbe17,https://optimistic.etherscan.io/tx/0xfa0e4ff71cdd2f73826b3e6f41b48cc31fadcfbe29b38318e0d077a9e62bbe17,send,0x6a406dd1c9d6f7651025b80b705195ae56942085,USDC,-5
15/01/2023,14:23:09,arb,0x30daa82768a33d5624475213709061da8d0d408ad082d6af463e3aca2be72144,https://arbiscan.io/tx/0x30daa82768a33d5624475213709061da8d0d408ad082d6af463e3aca2be72144,send,0x6a6e759d8ce83341fa215e1e9f2ba2220ecd75ab,ETH,-0.002
14/02/2023,11:24:18,arb,0x30fbce70f8f87697c1f0277147755030aec4399aa698d52dd3c8f537d1876c87,https://arbiscan.io/tx/0x30fbce70f8f87697c1f0277147755030aec4399aa698d52dd3c8f537d1876c87,receive,0x6ba7f579ab57169cbc3eef91e8ec53e8a803757f,ETH,0.00232
25/02/2023,14:49:43,op,0x66c6138c537c9cc14931c984688bf8d99b06f71bdbea897a05ae913aa760acce,https://optimistic.etherscan.io/tx/0x66c6138c537c9cc14931c984688bf8d99b06f71bdbea897a05ae913aa760acce,send,0x6bb69f848486f9c05b1fc4fa1f780a74af39a49e,USDC,-5
25/02/2023,14:39:25,op,0x963cb12c21bdb0abe9ee106751c79c58a5096cd31bac8b7b32713e2c66423083,https://optimistic.etherscan.io/tx/0x963cb12c21bdb0abe9ee106751c79c58a5096cd31bac8b7b32713e2c66423083,send,0x6d2c836439d5454c6be45ca492d61a6a49891189,USDC,-5
25/02/2023,14:47:11,op,0x55a56ea4e8aa0b688b605582c4ee71d627187fbb09654940477e11f3c6f3bbe0,https://optimistic.etherscan.io/tx/0x55a56ea4e8aa0b688b605582c4ee71d627187fbb09654940477e11f3c6f3bbe0,send,0x6e1ec86933867cac3b0b509e1510f004653ad9df,USDC,-5
25/02/2023,14:37:09,op,0xe83cba175ea84460c2cd5d9d54d5ca2ff33378e06ae574c369f4c83c47760c3f,https://optimistic.etherscan.io/tx/0xe83cba175ea84460c2cd5d9d54d5ca2ff33378e06ae574c369f4c83c47760c3f,send,0x6e278d5e6cdf6298163fd015f1892a96a4f8d565,USDC,-5
25/02/2023,14:52:58,op,0xdbacf61aa4f74ce0346421ba774826e0cc6f972510c108d3ebde1dac31f9bc4e,https://optimistic.etherscan.io/tx/0xdbacf61aa4f74ce0346421ba774826e0cc6f972510c108d3ebde1dac31f9bc4e,send,0x6e3bece3bf2e93327a7cedfd7267833a0b7e6480,USDC,-5
15/01/2023,12:49:33,arb,0x7c49bb67bba52a715bb912d2019c32cce22c1f7da8e15fe480eee268bc6d640d,https://arbiscan.io/tx/0x7c49bb67bba52a715bb912d2019c32cce22c1f7da8e15fe480eee268bc6d640d,send,0x70312f8944468fcbd1ec7f9d0c67994513f1b42b,ETH,-0.002
30/05/2023,01:05:11,arb,0x947aaae7b8bf3c1d269062f07842439f45d38d4bee545e6c107cabe4374426c3,https://arbiscan.io/tx/0x947aaae7b8bf3c1d269062f07842439f45d38d4bee545e6c107cabe4374426c3,send,0x7410ac97b15769c80eb68bbf21ceedda39b8cf3d,ETH,-0.023
15/01/2023,12:53:49,arb,0x27ecf6b5404b2ee031bc0e2e8ad07bab677aa0d339e0f46132d8b688f45e06d8,https://arbiscan.io/tx/0x27ecf6b5404b2ee031bc0e2e8ad07bab677aa0d339e0f46132d8b688f45e06d8,send,0x74d2fa74f3435da473780cb6563176265687fd3e,ETH,-0.002
15/01/2023,14:25:55,arb,0xcb363a36add9df984480ab22a93886712fc326f3b5b4ec29ac366d731582783b,https://arbiscan.io/tx/0xcb363a36add9df984480ab22a93886712fc326f3b5b4ec29ac366d731582783b,send,0x78c818eb4861a4123437254fab4ab7d3fee8e5c4,ETH,-0.002
25/02/2023,14:46:11,op,0x9b62ae47bac8a593923af110c551beffd4b1cce43da57df51c61a68e5cbf4510,https://optimistic.etherscan.io/tx/0x9b62ae47bac8a593923af110c551beffd4b1cce43da57df51c61a68e5cbf4510,send,0x791d80cffede5efaaba74e5009ebac2bcd12d34f,USDC,-5
15/01/2023,12:55:13,arb,0xe28f7b83131bf667a30638af43da99093b3d2ba8c435483002240899d379ca37,https://arbiscan.io/tx/0xe28f7b83131bf667a30638af43da99093b3d2ba8c435483002240899d379ca37,send,0x81b0cdab00f1a4ecc5093f18edfa7527c56aaa13,ETH,-0.002
15/01/2023,12:58:31,arb,0x5f7e815ca305fafe1c79665fdde96be44233a78ccd2136dc6a2770a8752051e8,https://arbiscan.io/tx/0x5f7e815ca305fafe1c79665fdde96be44233a78ccd2136dc6a2770a8752051e8,send,0x8214186c13ecf63f6e69bcecde9c19428ba76ee6,ETH,-0.002
30/05/2023,01:04:45,arb,0x33f62a4cd2e3177c576039883835ec9a1376380cc5f45fc7a5c7e8c31d86ab93,https://arbiscan.io/tx/0x33f62a4cd2e3177c576039883835ec9a1376380cc5f45fc7a5c7e8c31d86ab93,send,0x83ec84ee3c202ec88e0f04c9d9e624aba9102a52,ETH,-0.024
27/01/2023,11:17:23,eth,0x2339218f4de94e3805edaa36f09b8daae1b5224bd29d2a35d02538582a84f979,https://etherscan.io/tx/0x2339218f4de94e3805edaa36f09b8daae1b5224bd29d2a35d02538582a84f979,receive,0x8454011a0ec0cbb62636b8723d529682cc0e51bd,ETH,0.0128
27/01/2023,10:48:59,eth,0x28528e17f3a6fc86ce7167a6006c434294f8fade614db2d25140c0415130b84d,https://etherscan.io/tx/0x28528e17f3a6fc86ce7167a6006c434294f8fade614db2d25140c0415130b84d,receive,0x8454011a0ec0cbb62636b8723d529682cc0e51bd,ETH,0.016
22/03/2024,20:00:41,bsc,0x2bb679c4ebd11849a3ef9988e5e7e73db5fab9a32e7332a7e634ace062a4b122,https://bscscan.com/tx/0x2bb679c4ebd11849a3ef9988e5e7e73db5fab9a32e7332a7e634ace062a4b122,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,BNB,-0.170629114982225
19/03/2024,12:54:11,celo,0x1a7be57367e24bb48f8ac8d5ad8af38e6ff7a43d742a7b682a51c1162f49eb9a,https://celoscan.io/tx/0x1a7be57367e24bb48f8ac8d5ad8af38e6ff7a43d742a7b682a51c1162f49eb9a,receive,0x875d65374326a3e87357bb5d98dbf25d2ea78165,CELO,1.3629272968654838
19/03/2024,12:50:33,bsc,0x9df71afc0354693cd9e343f40ee3dbb76ec5a5a27eb2d24718c9b443a21af662,https://bscscan.com/tx/0x9df71afc0354693cd9e343f40ee3dbb76ec5a5a27eb2d24718c9b443a21af662,receive,0x875d65374326a3e87357bb5d98dbf25d2ea78165,BNB,0.004416953105004096
11/02/2024,14:51:15,matic,0x44ab6d3924ec1d999f2c36a995ab9d84136c50d78ed218f8f9ba1bf44460fba7,https://polygonscan.com/tx/0x44ab6d3924ec1d999f2c36a995ab9d84136c50d78ed218f8f9ba1bf44460fba7,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,MATIC,-5.794414184725924
11/02/2024,13:13:55,op,0x46350a61e503015212f81f2b93171fdcf8a4bb8b824304749a148a6a960c8de9,https://optimistic.etherscan.io/tx/0x46350a61e503015212f81f2b93171fdcf8a4bb8b824304749a148a6a960c8de9,receive,0x875d65374326a3e87357bb5d98dbf25d2ea78165,ETH,0.019775915273272507
11/02/2024,12:55:18,arb,0x732ef2a5d94f49b0dd7b87f042761bfe9d9c51d185b75290c14418cc3fc05184,https://arbiscan.io/tx/0x732ef2a5d94f49b0dd7b87f042761bfe9d9c51d185b75290c14418cc3fc05184,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,ETH,-0.002536605533804203
07/02/2024,08:45:13,avax,0xaaa6d6440b9b8faf07d558c3c82fd367fcde20784f717892a94d730d7c323df5,https://snowscan.xyz/tx/0xaaa6d6440b9b8faf07d558c3c82fd367fcde20784f717892a94d730d7c323df5,receive,0x875d65374326a3e87357bb5d98dbf25d2ea78165,AVAX,0.066859939392
07/12/2023,14:19:19,linea,0x8e6d23fb9ff3db810dfc58cd0112334bb75364f8e441bd4f01228ef00f49701f,https://lineascan.build/tx/0x8e6d23fb9ff3db810dfc58cd0112334bb75364f8e441bd4f01228ef00f49701f,receive,0x875d65374326a3e87357bb5d98dbf25d2ea78165,ETH,0.004943269631795
31/08/2023,14:55:48,avax,0xc8a311de8585be0fef58e2f80ff0f61f06f9fba6d6bfb05ed5ebc5b9ba68bfbc,https://snowscan.xyz/tx/0xc8a311de8585be0fef58e2f80ff0f61f06f9fba6d6bfb05ed5ebc5b9ba68bfbc,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,AVAX,-0.02
31/08/2023,14:55:30,avax,0x6612dae85e368a09a9fd4522fa67094d2357c81d4f8785b746b36cc6355443e8,https://snowscan.xyz/tx/0x6612dae85e368a09a9fd4522fa67094d2357c81d4f8785b746b36cc6355443e8,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,STG,-31251.448060324576
18/08/2023,08:33:49,bsc,0xf64b535f7d59cc4e93cbd845d384c7412f98d85d3638eaddda221a304db2e8ba,https://bscscan.com/tx/0xf64b535f7d59cc4e93cbd845d384c7412f98d85d3638eaddda221a304db2e8ba,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,axlUSDC,-10863.439491
17/08/2023,23:25:25,bsc,0x3a76593a7d538431719caeb7991847ce1d5086cdccc9b134b79cfec54402454f,https://bscscan.com/tx/0x3a76593a7d538431719caeb7991847ce1d5086cdccc9b134b79cfec54402454f,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,STG,-21318.5
12/08/2023,11:51:03,core,0xb1b7f81a76c6d8340a64174839ecc572a275a65822555401ee7d9bc001361115,https://scan.coredao.org/tx/0xb1b7f81a76c6d8340a64174839ecc572a275a65822555401ee7d9bc001361115,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,CORE,-1
12/08/2023,11:25:27,bsc,0xf5bd01b9d0b597fab35bb257e0baeff1b2ba353ed1224835815ad895d4424998,https://bscscan.com/tx/0xf5bd01b9d0b597fab35bb257e0baeff1b2ba353ed1224835815ad895d4424998,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,BNB,-0.01
12/08/2023,10:49:30,core,0xeee3778d8a6705d5b4b553396d48d1a8bc6d5d3077c1c51bc83e856fcfe06459,https://scan.coredao.org/tx/0xeee3778d8a6705d5b4b553396d48d1a8bc6d5d3077c1c51bc83e856fcfe06459,send,0x875d65374326a3e87357bb5d98dbf25d2ea78165,CORE,-2
