Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
02/10/2023,19:44:38,bsc,0xaa7483bff05da74d2d292e32d3be6d745141bfff7d49b27bccc79f09841c52ce,https://bscscan.com/tx/0xaa7483bff05da74d2d292e32d3be6d745141bfff7d49b27bccc79f09841c52ce,send,0x036632ae6db3eaa57cbd1a9e4d48e1d9c85557b6,BNB,-0.005
15/09/2022,13:31:49,eth,0x37c8031841e8dbcce0949d36e8c95d776733cd5d7a66f08eab2c83357bde2c27,https://etherscan.io/tx/0x37c8031841e8dbcce0949d36e8c95d776733cd5d7a66f08eab2c83357bde2c27,receive,0x05895874160a98eb1192008a25a8261f9390d56f,ETH,0.17089954464971452
08/01/2023,00:53:11,eth,0xde5198064eab9861fa6d715eeb9cb2734d1e143200545d006d7652534200f298,https://etherscan.io/tx/0xde5198064eab9861fa6d715eeb9cb2734d1e143200545d006d7652534200f298,receive,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,0.12
15/01/2022,20:22:05,eth,0x0aff107471329d80a026785c9ad1ec9c8e0195b4d1d4f9f71ec3183345f22193,https://etherscan.io/tx/0x0aff107471329d80a026785c9ad1ec9c8e0195b4d1d4f9f71ec3183345f22193,receive,0x0845212ebf21bcf9757b718db4065e911caba155,FIDU,486.8684685075848
12/01/2022,07:36:08,eth,0xc816ddcb9a8162c36c35d69f83a82c49ab111beea575b55417803fd7d648c9c6,https://etherscan.io/tx/0xc816ddcb9a8162c36c35d69f83a82c49ab111beea575b55417803fd7d648c9c6,receive,0x0845212ebf21bcf9757b718db4065e911caba155,GFI,590.1297034809439
21/09/2021,16:28:29,eth,0x52b53639e4b7ccae10f9006cc29fef23d9dd16f5c5139e73f33b8a933e4cb0d0,https://etherscan.io/tx/0x52b53639e4b7ccae10f9006cc29fef23d9dd16f5c5139e73f33b8a933e4cb0d0,send,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,-0.02
14/09/2021,05:08:30,eth,0xff98af0c4654f3e33bd51df65294b21eec5c44561e6287757e231700bfe961d3,https://etherscan.io/tx/0xff98af0c4654f3e33bd51df65294b21eec5c44561e6287757e231700bfe961d3,receive,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,0.4
14/09/2021,02:36:58,eth,0xb9b09c200ca2d88a9c94d7d6608ae653cd46c897d34646638fa9bbe2158457e5,https://etherscan.io/tx/0xb9b09c200ca2d88a9c94d7d6608ae653cd46c897d34646638fa9bbe2158457e5,send,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,-0.3
14/09/2021,00:06:43,eth,0x19a69431e043194607e496e0890590ab03d1991a59a6982fe5d51060ddb82961,https://etherscan.io/tx/0x19a69431e043194607e496e0890590ab03d1991a59a6982fe5d51060ddb82961,send,0x0845212ebf21bcf9757b718db4065e911caba155,ETH,-1.3
08/12/2021,23:29:37,matic,0xefabed26d90f3e747c6df0546acac0ec046ee17b4d7dc6daa60b68ae83129aa1,https://polygonscan.com/tx/0xefabed26d90f3e747c6df0546acac0ec046ee17b4d7dc6daa60b68ae83129aa1,receive,0x0ca1f04d94d46e54625d3a85d8b96c99b0265c61,WETH,0.00314425
