Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
26/11/2022,04:58:22,op,0x2f4331ebd572d6c51e775f8bda390e6ca2f78c151b59648913b9eebc7276eecd,https://optimistic.etherscan.io/tx/0x2f4331ebd572d6c51e775f8bda390e6ca2f78c151b59648913b9eebc7276eecd,receive,0x00d7be72669c06d68c5d7f5f4483a5e6b84eb70b,sUSD,114.24100162406577
26/11/2022,04:55:37,op,0x8d744e876f4113f8c0c1dce6c81ad79db7849c7192e93ce9a7e098a5dac6ddf8,https://optimistic.etherscan.io/tx/0x8d744e876f4113f8c0c1dce6c81ad79db7849c7192e93ce9a7e098a5dac6ddf8,receive,0x043deaaaf0cf4547895e8161094975e371dccfcb,sUSD,114.24100165719656
26/11/2022,04:53:22,op,0x66adf70d83177813815cbd2f2cf35de93def4b6f4ccfe9b5d81a58c84ed7357e,https://optimistic.etherscan.io/tx/0x66adf70d83177813815cbd2f2cf35de93def4b6f4ccfe9b5d81a58c84ed7357e,receive,0x10dc6f79ab3eac848822dc73506be1a7ae32b79d,sUSD,114.24100165667002
14/09/2022,19:28:30,eth,0xd3f3233dfe6e0675a464f765e7aaeea8d426625224874414436db4c846c08418,https://etherscan.io/tx/0xd3f3233dfe6e0675a464f765e7aaeea8d426625224874414436db4c846c08418,send,0x10dc6f79ab3eac848822dc73506be1a7ae32b79d,ETH,-0.002
26/11/2022,05:08:44,op,0x1d65b7d7760f78c1b95f0de7a671611691d25492f4cd98bb3d377d32a42d2932,https://optimistic.etherscan.io/tx/0x1d65b7d7760f78c1b95f0de7a671611691d25492f4cd98bb3d377d32a42d2932,receive,0x11daf469380d8d251b1f11e12d770aa71148e808,sUSD,114.2410016814178
26/11/2022,04:58:37,op,0x69bf88b3a94421633d92c78f859ddd9a15a13264ecbe82e5ccd8f9e8e905bf8a,https://optimistic.etherscan.io/tx/0x69bf88b3a94421633d92c78f859ddd9a15a13264ecbe82e5ccd8f9e8e905bf8a,receive,0x13947e418e613d43fa55849ddc8626e7105f957f,sUSD,114.24100604521793
26/11/2022,04:48:21,op,0x667e789a03dd0f93c1977a8f12d8346defb1de070d6d96e5f2757f09ba24e54a,https://optimistic.etherscan.io/tx/0x667e789a03dd0f93c1977a8f12d8346defb1de070d6d96e5f2757f09ba24e54a,receive,0x141d220615135ccf90d1d742d0b43334a12b79e9,sUSD,114.241
26/11/2022,05:15:52,op,0x2d34827d3c7cf923b60b6b5c133f74e0c35b3df01c58738f9124b869da5100b7,https://optimistic.etherscan.io/tx/0x2d34827d3c7cf923b60b6b5c133f74e0c35b3df01c58738f9124b869da5100b7,receive,0x36ca0fb08237a56117e92d5159693cb3590ae0c4,sUSD,114.24100276610955
22/03/2023,20:02:22,bsc,0xb0c551045fa7beb828cd31156cedecc91b48c50ba6468803ba27565efa698636,https://bscscan.com/tx/0xb0c551045fa7beb828cd31156cedecc91b48c50ba6468803ba27565efa698636,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-82.409
26/11/2022,05:13:02,op,0x98c1c359fd1a5a59e0fc24014a8a68bca1471e8d5dbcea0b618efea17ac42ac2,https://optimistic.etherscan.io/tx/0x98c1c359fd1a5a59e0fc24014a8a68bca1471e8d5dbcea0b618efea17ac42ac2,receive,0x3ac5177d72e99b8fe4a32b57fc6f10a9c8d9142c,sUSD,114.24100166066296
26/11/2022,04:54:07,op,0x32777542f680ac50930b47fc22b1f6181d570d9d38e0402f764d6a3e999d08c7,https://optimistic.etherscan.io/tx/0x32777542f680ac50930b47fc22b1f6181d570d9d38e0402f764d6a3e999d08c7,receive,0x3beb6395223598a0dc8fc2586696f094b3816cb0,sUSD,114.24100165516771
26/11/2022,05:14:04,op,0x5cc990e2c5cfaed7a2fc0b4652f887a793d453ef097cb321eb8d9d64ef7e0f43,https://optimistic.etherscan.io/tx/0x5cc990e2c5cfaed7a2fc0b4652f887a793d453ef097cb321eb8d9d64ef7e0f43,receive,0x3e17e2ce7df075e861c8bae8ead720f3d8408cda,sUSD,114.24100166061203
26/11/2022,05:11:01,op,0xcfdae44a63dd96c39b4715fdb13ba315e62cbbb7075d9aa90a0a8277f83919f5,https://optimistic.etherscan.io/tx/0xcfdae44a63dd96c39b4715fdb13ba315e62cbbb7075d9aa90a0a8277f83919f5,receive,0x4d08673b100ec2cb900eefeb78683f01e3977af4,sUSD,114.241
26/11/2022,05:03:25,op,0x7e1a9a874faa4e827ef5ab698c905cc86427e07e487b7a2316cbb0ae01d0f128,https://optimistic.etherscan.io/tx/0x7e1a9a874faa4e827ef5ab698c905cc86427e07e487b7a2316cbb0ae01d0f128,receive,0x53488cabd6bd7200e277d0b2d716eb7a44c294ad,sUSD,114.24100811836308
03/01/2023,22:55:54,arb,0xb5cc0a67af77e9272ebf8ff2f67741341623b61de78ead28c79d9a2a7e975875,https://arbiscan.io/tx/0xb5cc0a67af77e9272ebf8ff2f67741341623b61de78ead28c79d9a2a7e975875,receive,0x564910544054f69f28cacdd78734b57a5f7c2482,ETH,0.0013
26/11/2022,05:07:14,op,0xa9582497ff7952b8af99ab1d659e6a6033d3d3ea68fee50a9e128ce3ab938ee0,https://optimistic.etherscan.io/tx/0xa9582497ff7952b8af99ab1d659e6a6033d3d3ea68fee50a9e128ce3ab938ee0,receive,0x66383195d030571cd51d940947a16ae2bf245420,sUSD,114.24100167024993
01/06/2023,21:39:34,matic,0x6f956e77d419b173e8135bc295ae1a4c4587d0b240b06ff38a4b7fd034531e6f,https://polygonscan.com/tx/0x6f956e77d419b173e8135bc295ae1a4c4587d0b240b06ff38a4b7fd034531e6f,receive,0x6eff9fb6c5d52098b953a904a4d805b0b96da884,MATIC,0.8
11/03/2023,00:02:11,arb,0x659714e9879a6f423e81dfee5c66726939f37e5202e98c80de96c00666754b00,https://arbiscan.io/tx/0x659714e9879a6f423e81dfee5c66726939f37e5202e98c80de96c00666754b00,receive,0x6eff9fb6c5d52098b953a904a4d805b0b96da884,ETH,0.002654425193136173
21/12/2022,08:27:40,arb,0x84b1133bff70a458876caf05a5c5cd8d959cbb2f63a1b7cdba8e15fe17ae6d9c,https://arbiscan.io/tx/0x84b1133bff70a458876caf05a5c5cd8d959cbb2f63a1b7cdba8e15fe17ae6d9c,receive,0x6eff9fb6c5d52098b953a904a4d805b0b96da884,ETH,0.0003
26/11/2022,05:01:24,op,0xf822196a69021a39d0e721eee7685f1a93cca27f0a3a6155d4ad7986e68faeee,https://optimistic.etherscan.io/tx/0xf822196a69021a39d0e721eee7685f1a93cca27f0a3a6155d4ad7986e68faeee,receive,0x73d438d4ba8b1f45aa9c49e08e6e86ffc484eda3,sUSD,114.24100230956385
26/11/2022,04:47:51,op,0xda215f6f66b9624bf70df26a15f2c6857131bc67f75693e927833c44648e3cff,https://optimistic.etherscan.io/tx/0xda215f6f66b9624bf70df26a15f2c6857131bc67f75693e927833c44648e3cff,receive,0x799d9eacd2b5fcf8b0aa799d2089b97a3c1d5062,sUSD,114.2410049725763
