Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
11/12/2023,06:00:47,arb,0x3109a146269bc3cbecf1eb720cfb40d565456fe71cab4f8c2a43440a632fc86c,https://arbiscan.io/tx/0x3109a146269bc3cbecf1eb720cfb40d565456fe71cab4f8c2a43440a632fc86c,receive,0x02aacef93e540e6142f57a2b70c09c8b09789a1d,USDT,50
09/12/2023,03:37:05,arb,0xb45b4de1277dc062b085acdf347787a34b418a8c279f32e8d21f50964bbbe7ae,https://arbiscan.io/tx/0xb45b4de1277dc062b085acdf347787a34b418a8c279f32e8d21f50964bbbe7ae,receive,0x02aacef93e540e6142f57a2b70c09c8b09789a1d,USDT,50
11/12/2023,03:03:23,eth,0xd40cf8d0b28d9c4fae6ff99cc88e10d81ff15c48cfa69ca8a085eb5ebb7e09b3,https://etherscan.io/tx/0xd40cf8d0b28d9c4fae6ff99cc88e10d81ff15c48cfa69ca8a085eb5ebb7e09b3,receive,0x19bb5e358662e460e09b1506f3b4badf443e4264,USDT,540
10/01/2024,17:43:31,bsc,0x095f14776a66456910bf3d52b0db572c28d65796d5ac7142938a7643de9ea64b,https://bscscan.com/tx/0x095f14776a66456910bf3d52b0db572c28d65796d5ac7142938a7643de9ea64b,receive,0x1a4fbee668c494cbdced98e4abc7227c8f7b5ea9,USDT,100
10/01/2024,23:59:56,arb,0xa54a8aa6f06bf9777130fb5ce590ec7637b8600a98a59bc4b56c10ba383e6588,https://arbiscan.io/tx/0xa54a8aa6f06bf9777130fb5ce590ec7637b8600a98a59bc4b56c10ba383e6588,receive,0x1a91fa2f71186149ca11c6bcd5e80298ae01a118,USDT,150
10/12/2023,23:52:11,eth,0x833f5b154723517acf8e87f81f04f580a30729527e6337509f87ee850e36d34c,https://etherscan.io/tx/0x833f5b154723517acf8e87f81f04f580a30729527e6337509f87ee850e36d34c,receive,0x1a91fa2f71186149ca11c6bcd5e80298ae01a118,USDT,50
12/02/2024,15:02:35,eth,0x14425d9305880755ebe6d2ca0b021bf940316cc385d923745ed4ef84f5f22cfe,https://etherscan.io/tx/0x14425d9305880755ebe6d2ca0b021bf940316cc385d923745ed4ef84f5f22cfe,receive,0x1f685d8691c8c4c5a538d7f7106b68c2e07592dd,USDC,285
27/03/2024,08:05:49,arb,0xe1434676025c498cab5826879be9d0f4a083409f0f8fff55fb6e958cd7f6c9fa,https://arbiscan.io/tx/0xe1434676025c498cab5826879be9d0f4a083409f0f8fff55fb6e958cd7f6c9fa,receive,0x20c6f73a8f39cba0597b8bba1073cd515e4d7edf,USDC,25
27/03/2024,08:01:42,arb,0x51feacf3b7cf6ef1a8980a8b2cc5103ed5f6f0a1ced040ddd8ee58d59d007710,https://arbiscan.io/tx/0x51feacf3b7cf6ef1a8980a8b2cc5103ed5f6f0a1ced040ddd8ee58d59d007710,receive,0x20c6f73a8f39cba0597b8bba1073cd515e4d7edf,USDC,100
11/12/2023,00:12:37,arb,0x426a35e89323f22bf9c006b24a7e120fdf4d1f17450719e04c521933151c8453,https://arbiscan.io/tx/0x426a35e89323f22bf9c006b24a7e120fdf4d1f17450719e04c521933151c8453,receive,0x218115014155a3aa4941eceabb53b3eea90de960,USDT,100
08/04/2024,16:54:44,bsc,0xb2d02fad3fd50b0c09449587d4c17ef6d5727b6d7d11f53fc21ac69e94dc0a48,https://bscscan.com/tx/0xb2d02fad3fd50b0c09449587d4c17ef6d5727b6d7d11f53fc21ac69e94dc0a48,receive,0x2daf5d1e8a8714413d3deda956ae3893f8b448f3,USDT,100
09/03/2024,04:43:10,bsc,0xe7bbde1e98b12b34bb649f60e222058cfb6f99067fe738a5e5ae1e40454147c8,https://bscscan.com/tx/0xe7bbde1e98b12b34bb649f60e222058cfb6f99067fe738a5e5ae1e40454147c8,receive,0x30f22eeca59aba58f2f239c2bdf3a655f528a3dd,USDT,100
09/02/2024,03:38:37,bsc,0xc01c313eeb365cd1306ae75435efdc018708f1b80118ea7d5c6ac5613f2012d2,https://bscscan.com/tx/0xc01c313eeb365cd1306ae75435efdc018708f1b80118ea7d5c6ac5613f2012d2,receive,0x30f22eeca59aba58f2f239c2bdf3a655f528a3dd,USDT,100
15/03/2024,00:13:46,bsc,0x33f54f4c768dc1d4499cacd390d4dece63f728cc6483b0246b1e05b874313338,https://bscscan.com/tx/0x33f54f4c768dc1d4499cacd390d4dece63f728cc6483b0246b1e05b874313338,receive,0x3511f80c582f82fa14150c2fc649cff63e3546d1,USDC,50
15/02/2024,18:39:18,arb,0x7ac8b0caa9cefb965c7f01ad8a5cedda5fa9b121076f2db9303078d634babea9,https://arbiscan.io/tx/0x7ac8b0caa9cefb965c7f01ad8a5cedda5fa9b121076f2db9303078d634babea9,receive,0x3511f80c582f82fa14150c2fc649cff63e3546d1,USDC,50
12/01/2024,20:17:59,arb,0x2d98df2de6b8ccfba106ad0c590c7eccc65620e59b061e39848a10190a05125f,https://arbiscan.io/tx/0x2d98df2de6b8ccfba106ad0c590c7eccc65620e59b061e39848a10190a05125f,receive,0x3511f80c582f82fa14150c2fc649cff63e3546d1,USDC,50
25/07/2023,13:31:14,era,0xa010973ef30c71145a0dcbfa78ae5af8b9d956c74a99b9dd05a11c8ae18e4178,https://era.zksync.network/tx/0xa010973ef30c71145a0dcbfa78ae5af8b9d956c74a99b9dd05a11c8ae18e4178,receive,0x370e8c73310502a8f7142f8aca511f4944ef78e1,ETH,0.11
06/01/2024,04:51:11,eth,0x41d577de8e3ec1f41a43107f4a44ca54215a8e0199f00fa452114c36ec0eeb67,https://etherscan.io/tx/0x41d577de8e3ec1f41a43107f4a44ca54215a8e0199f00fa452114c36ec0eeb67,receive,0x3e119b51abfd4a6560530748b2535fd3a294a977,USDC,143
09/12/2023,05:00:57,matic,0xcb0c0eaca2162b0d1d6e8e2d044b9f1c052ac1d1f4063233a666da51205632bb,https://polygonscan.com/tx/0xcb0c0eaca2162b0d1d6e8e2d044b9f1c052ac1d1f4063233a666da51205632bb,receive,0x3ffc0798104e28aaa7b8d4f05c6193035d2916e3,USDT,100
04/01/2024,22:54:49,bsc,0xefac0c6b46e702e64c16443d7846c7ed0b70ef97926c3702b84448bd08b59ae1,https://bscscan.com/tx/0xefac0c6b46e702e64c16443d7846c7ed0b70ef97926c3702b84448bd08b59ae1,receive,0x44b3027b75467e16c763806dfb0cf4c26b2ffed2,USDT,50
