Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,17:00:09,matic,0x8921ca875597101a7cd74a462cbeca77d5ab73068de12ac557fc0d473dc12a89,https://polygonscan.com/tx/0x8921ca875597101a7cd74a462cbeca77d5ab73068de12ac557fc0d473dc12a89,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-7.573941
19/12/2023,13:49:43,linea,0xb46976b9a9042ef88ff4a6df83f31952960675cf9ed6b80c9785cf68eae0f98e,https://lineascan.build/tx/0xb46976b9a9042ef88ff4a6df83f31952960675cf9ed6b80c9785cf68eae0f98e,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,15:53:01,linea,0x9ffccd479ed2a318205521981770ab839214a93de4acc03a83c5872fd2dd16b0,https://lineascan.build/tx/0x9ffccd479ed2a318205521981770ab839214a93de4acc03a83c5872fd2dd16b0,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:49:10,nova,0x45a6e17bfac08177439c159358d59560aa84e59a5a02f4c3c6e17a12dcd54ba6,https://nova.arbiscan.io/tx/0x45a6e17bfac08177439c159358d59560aa84e59a5a02f4c3c6e17a12dcd54ba6,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.003971020887267201
25/08/2023,21:32:30,ftm,0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,https://ftmscan.com/tx/0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:25:15,matic,0x5d0cbd226f8ec1b0abb3f8aec77e9f5c57d7dd23e9f012e96c194c1468e1a5d5,https://polygonscan.com/tx/0x5d0cbd226f8ec1b0abb3f8aec77e9f5c57d7dd23e9f012e96c194c1468e1a5d5,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
15/01/2023,22:50:03,op,0x9eda4811e6efe255535a5ea11d020954f36a463388d35b1f2b5989c7da81ed78,https://optimistic.etherscan.io/tx/0x9eda4811e6efe255535a5ea11d020954f36a463388d35b1f2b5989c7da81ed78,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,20
21/08/2023,02:18:30,xdai,0x8cf2fcd8568169e4fa1b27be123e8ff7e9566172ec3f45540e1295f7bc83fce4,https://gnosisscan.io/tx/0x8cf2fcd8568169e4fa1b27be123e8ff7e9566172ec3f45540e1295f7bc83fce4,send,0x135578611a6dfd21b540b6852a31ac004cce9dfd,xDai,-0.07
30/01/2023,11:13:59,eth,0x009fd870ed918f483d0557f59823dcf800633830085875b51e50ef600e01ab60,https://etherscan.io/tx/0x009fd870ed918f483d0557f59823dcf800633830085875b51e50ef600e01ab60,receive,0x2c7db25f21afd9449ee5f4013122918633e8bf34,ETH,0.001834284098733
12/12/2021,18:33:08,eth,0x14f3c07763c33022893e130e21889839d559e6488b6ef2c868be6472c8982717,https://etherscan.io/tx/0x14f3c07763c33022893e130e21889839d559e6488b6ef2c868be6472c8982717,send,0x517af9bdb6f8c7e8b8d8121d771de20dc689c5d2,ETH,-0.0072
