Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
19/03/2024,23:26:13,base,0x0327c46bb90f8273a2fc32a703760e7a7a33397e308633a990d080de6089123c,https://www.basescan.org/tx/0x0327c46bb90f8273a2fc32a703760e7a7a33397e308633a990d080de6089123c,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,8.85e-12
19/03/2024,22:00:01,opbnb,0x2b93578e57d86e0d17e52e157f6cb416833dada654a85e32c61f0263ce0aea52,https://mainnet.opbnbscan.com/tx/0x2b93578e57d86e0d17e52e157f6cb416833dada654a85e32c61f0263ce0aea52,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,7.4e-13
18/02/2024,04:24:57,base,0x7345d71ead373daa1d28661f2e7084daf2957557276dbffc5e206c9947f4ffe3,https://www.basescan.org/tx/0x7345d71ead373daa1d28661f2e7084daf2957557276dbffc5e206c9947f4ffe3,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,7.6e-12
02/02/2024,05:52:17,era,0xcd01b079f9ffd729e62365961c73cdf907e59a6b8265c501a7b8723d2c72e020,https://era.zksync.network/tx/0xcd01b079f9ffd729e62365961c73cdf907e59a6b8265c501a7b8723d2c72e020,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,9.53e-12
07/01/2024,05:49:40,era,0x792c13d99c8bc6ea846b858f79ce71f1e3157c2af176f6a2295f9b0922b8f455,https://era.zksync.network/tx/0x792c13d99c8bc6ea846b858f79ce71f1e3157c2af176f6a2295f9b0922b8f455,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,9.16e-12
28/12/2023,05:20:55,opbnb,0xab51e07f5c7c5f4ee36c883f86d014403ada23d443c9df2a2a96db4b8323aa57,https://mainnet.opbnbscan.com/tx/0xab51e07f5c7c5f4ee36c883f86d014403ada23d443c9df2a2a96db4b8323aa57,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,1.43e-12
28/12/2023,02:00:42,opbnb,0x2dc7eb9d682dbf57bd698e715e3f1a95a65a85e951ed62a35b49315820da2044,https://mainnet.opbnbscan.com/tx/0x2dc7eb9d682dbf57bd698e715e3f1a95a65a85e951ed62a35b49315820da2044,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,9.03e-12
28/12/2023,01:52:38,opbnb,0x511c93c3c6bdac931a6e1d8f5327fcfd6229fc57fad1b2043831ed77a393eb44,https://mainnet.opbnbscan.com/tx/0x511c93c3c6bdac931a6e1d8f5327fcfd6229fc57fad1b2043831ed77a393eb44,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,1.94e-12
28/12/2023,01:50:38,opbnb,0x42208e2bbaa576ae0cbe697d6d5c9ec46e591e9fbb78db5204ddc90fcb1c5ec6,https://mainnet.opbnbscan.com/tx/0x42208e2bbaa576ae0cbe697d6d5c9ec46e591e9fbb78db5204ddc90fcb1c5ec6,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,BNB,3.65e-12
25/12/2023,18:37:19,manta,0xc6e181bb86ae3516acde55e86eb71c0b70c0497ad71b0500ad602e377d3e15b3,https://pacific-explorer.manta.network/tx/0xc6e181bb86ae3516acde55e86eb71c0b70c0497ad71b0500ad602e377d3e15b3,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,8.68e-12
22/09/2023,16:10:45,pze,0x7c529035ed2d7ee8fb6c496e8b02c9ca9780cd8e3bad2f6dd814500f6153e39d,https://zkevm.polygonscan.com/tx/0x7c529035ed2d7ee8fb6c496e8b02c9ca9780cd8e3bad2f6dd814500f6153e39d,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.912e-10
22/09/2023,15:56:26,pze,0x5e9213e2557c4f6459149793f1f60022416836e599db2d93d5f32ee668efb7d1,https://zkevm.polygonscan.com/tx/0x5e9213e2557c4f6459149793f1f60022416836e599db2d93d5f32ee668efb7d1,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,3.324e-10
12/09/2023,00:48:17,era,0xc013d990cbc49af946c69ad6489ec83fb2a2eda8e51c16d763aa835151e54b4c,https://era.zksync.network/tx/0xc013d990cbc49af946c69ad6489ec83fb2a2eda8e51c16d763aa835151e54b4c,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.912e-10
12/09/2023,00:45:41,era,0xd72729fbb5f00bb26e5d4a9e4d7965b163833445f56ceab76eedd7c6038b3f93,https://era.zksync.network/tx/0xd72729fbb5f00bb26e5d4a9e4d7965b163833445f56ceab76eedd7c6038b3f93,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1.912e-10
09/07/2023,21:58:20,nova,0x0d89c4d014250068ec1c7cd1bfa6c15380348a6264edf7c39ca334697feb7455,https://nova.arbiscan.io/tx/0x0d89c4d014250068ec1c7cd1bfa6c15380348a6264edf7c39ca334697feb7455,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1e-10
09/07/2023,21:58:17,nova,0x2a2ff9f992b75df70af0815ad6da4034b22f74f0fd4ed72e0bedc9df66b66f67,https://nova.arbiscan.io/tx/0x2a2ff9f992b75df70af0815ad6da4034b22f74f0fd4ed72e0bedc9df66b66f67,receive,0x00fca951733830283d7a078ebea396bfb3f4ecbc,ETH,1e-10
12/02/2024,04:19:33,base,0xccd5e35e5fe84a9ab6e05275797f200069ea92fa901c4eb482a4e3e9679b1739,https://www.basescan.org/tx/0xccd5e35e5fe84a9ab6e05275797f200069ea92fa901c4eb482a4e3e9679b1739,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,ETH,2.74e-11
09/02/2024,22:16:10,opbnb,0xc8d595dc84e6d55cf1e9502002e9f2fc4da0d0e617b8c5055295c0a04d3be193,https://mainnet.opbnbscan.com/tx/0xc8d595dc84e6d55cf1e9502002e9f2fc4da0d0e617b8c5055295c0a04d3be193,receive,0x026a13a83a7748f10d33ad193935e7bed235b956,BNB,1.05e-11
20/03/2024,00:02:23,base,0x90fed6ff32bd3bde50b4313c790b3ec0c678ad000014a7142696cce754e14c5c,https://www.basescan.org/tx/0x90fed6ff32bd3bde50b4313c790b3ec0c678ad000014a7142696cce754e14c5c,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,2.98e-11
15/02/2024,12:08:02,opbnb,0x06dbbbf049222244804c5a7a04fda2a1e06ed5b4353bbc0f1cbe166ad3823a50,https://mainnet.opbnbscan.com/tx/0x06dbbbf049222244804c5a7a04fda2a1e06ed5b4353bbc0f1cbe166ad3823a50,receive,0x0424090d76b3bda9caf1a7de885a063995735170,BNB,2.54e-11
12/02/2024,21:02:47,era,0xb88833376f4c8ff93060f92f81e8e05170258fd5ea41edb768940e8e3021bacd,https://era.zksync.network/tx/0xb88833376f4c8ff93060f92f81e8e05170258fd5ea41edb768940e8e3021bacd,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,8.2e-12
12/02/2024,04:32:55,base,0xe0e723620addf7844ca2aac696d2cf8e3be5e425cda4f2c368d35fdcc55818b2,https://www.basescan.org/tx/0xe0e723620addf7844ca2aac696d2cf8e3be5e425cda4f2c368d35fdcc55818b2,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,9.9e-12
31/12/2023,04:46:23,opbnb,0x00686bc9e43a33372d03b930ebfc15603e0c1573b77dec107582bc612bbf29aa,https://mainnet.opbnbscan.com/tx/0x00686bc9e43a33372d03b930ebfc15603e0c1573b77dec107582bc612bbf29aa,receive,0x0424090d76b3bda9caf1a7de885a063995735170,BNB,5.7e-12
29/12/2023,06:37:25,nova,0xd6cdadb74d8c593bea82ae1bd4ed4077dd1ccf5b37fa9cc8f23b1e6229401516,https://nova.arbiscan.io/tx/0xd6cdadb74d8c593bea82ae1bd4ed4077dd1ccf5b37fa9cc8f23b1e6229401516,receive,0x0424090d76b3bda9caf1a7de885a063995735170,ETH,4.25e-11
13/09/2022,04:27:40,arb,0x20f430dc49598362381852e9aea5b51b212bf482cb93dac2508da872aa78dc1a,https://arbiscan.io/tx/0x20f430dc49598362381852e9aea5b51b212bf482cb93dac2508da872aa78dc1a,receive,0x0604b9f31820391f308f937de7f693db10211f6a,ETH,0.08606068851296571
11/09/2022,21:45:46,evmos,0xf5a0602d5cad3223d06c419831408306a34f17b00475880827f65a620dd7505c,https://escan.live/tx/0xf5a0602d5cad3223d06c419831408306a34f17b00475880827f65a620dd7505c,receive,0x0604b9f31820391f308f937de7f693db10211f6a,EVMOS,24
