Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
30/04/2018,00:43:02,eth,0xbe0776d3da0f4d554b9b3ada4c166de64ff4428a084865ffcccfbcbea0cca283,https://etherscan.io/tx/0xbe0776d3da0f4d554b9b3ada4c166de64ff4428a084865ffcccfbcbea0cca283,send,0x0bcd2dd36e511b920c1a549303e73f5f5d057c62,ETH,-0.001
30/04/2018,01:19:12,eth,0x2a60ff42c687b04eebba9bd3a2b0aaa63d62951271336cf5ced7872c571bc0f8,https://etherscan.io/tx/0x2a60ff42c687b04eebba9bd3a2b0aaa63d62951271336cf5ced7872c571bc0f8,send,0x161ada4309fdcaf65dd3046becf970a88e87f967,ETH,-0.001
30/04/2018,00:46:19,eth,0xd60fc7a1cbe66fdcf0ddbcc3ce9fb7145a2cf022c3e935f0fdf715d1935dc8f1,https://etherscan.io/tx/0xd60fc7a1cbe66fdcf0ddbcc3ce9fb7145a2cf022c3e935f0fdf715d1935dc8f1,send,0x196c9ad0e4490955c7f7061d975acf106ce0bbdb,ETH,-0.001
30/04/2018,00:54:37,eth,0xe4d56f6e0ff8c94b17f34657f53d4746b7cf392cb0c9e0a011bbed600d8785c2,https://etherscan.io/tx/0xe4d56f6e0ff8c94b17f34657f53d4746b7cf392cb0c9e0a011bbed600d8785c2,send,0x209e1e50f7ee7db4ec40baf9c0c6257e5fc6a923,ETH,-0.001
29/04/2018,21:42:51,eth,0x8808d0ade4c097bae3cf6231b08b5672287e7c61f26791651c4b2d0a5ce43cdf,https://etherscan.io/tx/0x8808d0ade4c097bae3cf6231b08b5672287e7c61f26791651c4b2d0a5ce43cdf,send,0x2501c9b6ab5878d80261b2882692a4809c0add3e,ETH,-0.001
04/06/2018,00:49:14,eth,0xd2699fbde7f66a99b207ebaa5557c1ad16a9bb5bf127f6008ad9dc25e3ed43d6,https://etherscan.io/tx/0xd2699fbde7f66a99b207ebaa5557c1ad16a9bb5bf127f6008ad9dc25e3ed43d6,send,0x26092db8e68245d2ea22b37f449fd5ef4fdb2693,ETH,-0.004
30/04/2018,01:17:14,eth,0xa1f024fd0e57e222f0dd75ef5c27e2586db6dffde3d75bc59fd42ed94a7aaf7c,https://etherscan.io/tx/0xa1f024fd0e57e222f0dd75ef5c27e2586db6dffde3d75bc59fd42ed94a7aaf7c,send,0x2c627cd57a1729ea4fecb9be6b9f4c09c039e962,ETH,-0.001
29/04/2018,21:32:27,eth,0xecfe2fe607c6b788df4336008e85ab3d6431d62b6d2e1275133672574115d6b6,https://etherscan.io/tx/0xecfe2fe607c6b788df4336008e85ab3d6431d62b6d2e1275133672574115d6b6,send,0x2d5ddf8d9327676b958b409b65bdfdd1ba71e6f9,ETH,-0.001
29/04/2018,21:01:59,eth,0x5e6ce83da2b1998e3c9d3208a3fe52fbb8ad0b7f66571bccba460e15d891ab97,https://etherscan.io/tx/0x5e6ce83da2b1998e3c9d3208a3fe52fbb8ad0b7f66571bccba460e15d891ab97,send,0x2d5ddf8d9327676b958b409b65bdfdd1ba71e6f9,ETH,-0.0008
30/04/2018,00:47:03,eth,0x4f46b485c38a44d5f6eacb673691b278bb01cc6f94bdfa4253836d3939d71169,https://etherscan.io/tx/0x4f46b485c38a44d5f6eacb673691b278bb01cc6f94bdfa4253836d3939d71169,send,0x32880ecdf7c8b150fab398cd9de12dce352e69c9,ETH,-0.001
