Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/08/2023,03:46:28,celo,0xdff42e0b54aaad95ce04965ced4d9af3bf7f7a525c155057078e6903eca06f6e,https://celoscan.io/tx/0xdff42e0b54aaad95ce04965ced4d9af3bf7f7a525c155057078e6903eca06f6e,send,0x01d77b358a5e2b12d60e7bfec4cff8ad54b63fd7,CELO,-0.15
21/08/2023,02:07:20,xdai,0x4a19a80c2f5a6ccc803731b3165bd9be108e1c5cb20fc5161350f48e6e2dce3d,https://gnosisscan.io/tx/0x4a19a80c2f5a6ccc803731b3165bd9be108e1c5cb20fc5161350f48e6e2dce3d,send,0x01d77b358a5e2b12d60e7bfec4cff8ad54b63fd7,xDai,-0.07
13/12/2023,15:36:32,bsc,0xe429651e1be05fbfce67bd0ec074545ac66f7d11b53503c3399629d7bb9d384f,https://bscscan.com/tx/0xe429651e1be05fbfce67bd0ec074545ac66f7d11b53503c3399629d7bb9d384f,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,BNB,-0.023765983075618287
13/12/2023,15:35:46,matic,0xd72f22c410d330fa32fce9b78349c8ee2b108dcded0f659decdc6fb270106b51,https://polygonscan.com/tx/0xd72f22c410d330fa32fce9b78349c8ee2b108dcded0f659decdc6fb270106b51,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-5.53722
13/12/2023,00:54:28,nova,0xf759e61b1ae605b7b3c5c4b6cdda0c92b4239480bbd2d56ee28bf92dbed820a3,https://nova.arbiscan.io/tx/0xf759e61b1ae605b7b3c5c4b6cdda0c92b4239480bbd2d56ee28bf92dbed820a3,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.001975107601537301
25/08/2023,21:30:19,ftm,0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,https://ftmscan.com/tx/0x686ccdc582796f3cfb17fe5521b526952edd82d178591e175541e9217abe38a3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:19:59,matic,0xb6579fb0528f87c4a5100ec6cf50d7f49b3a2643e942fe348f0897e5056d382d,https://polygonscan.com/tx/0xb6579fb0528f87c4a5100ec6cf50d7f49b3a2643e942fe348f0897e5056d382d,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
05/01/2023,02:49:59,op,0x3e8fb609653c20990da091914fcdf6586dd381722db42ea6ff06e8df1d2be069,https://optimistic.etherscan.io/tx/0x3e8fb609653c20990da091914fcdf6586dd381722db42ea6ff06e8df1d2be069,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.001
30/12/2022,06:53:35,eth,0x1e5cc9c5f4fd7247be2ece8bbe7158818b726f6f4ee831c37c85876ab84b3278,https://etherscan.io/tx/0x1e5cc9c5f4fd7247be2ece8bbe7158818b726f6f4ee831c37c85876ab84b3278,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,0.08
05/07/2023,04:13:29,bsc,0xc6f4ccc0a4d9827cdfb090632c1a76831554e34ab9e8efc84e6de1054693a8eb,https://bscscan.com/tx/0xc6f4ccc0a4d9827cdfb090632c1a76831554e34ab9e8efc84e6de1054693a8eb,receive,0x1489e4f2b5f47ac2f40e2c6bdfbe5e564e6da72c,BNB,0.02993955
