Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/03/2023,22:44:36,arb,0xf7674b34ad01e4c204c168f4efa60e8f00545ef84fce2e35368e7cd713e705f7,https://arbiscan.io/tx/0xf7674b34ad01e4c204c168f4efa60e8f00545ef84fce2e35368e7cd713e705f7,send,0x023a9e71848964720aa938d50f1232d34f46b470,ARB,-625
25/01/2023,23:21:40,op,0x5849e37f01e14bfe5120fda866d35d8f00ad9519ce8e9650a6a265cec23c14e3,https://optimistic.etherscan.io/tx/0x5849e37f01e14bfe5120fda866d35d8f00ad9519ce8e9650a6a265cec23c14e3,receive,0x183bffe026d50515516a8f873162396068143425,ETH,0.00011
22/03/2023,21:18:39,bsc,0xd909a011d49a1d4ed2647476d06fe4423c960eed77a143c39cd35b6f8ecc561b,https://bscscan.com/tx/0xd909a011d49a1d4ed2647476d06fe4423c960eed77a143c39cd35b6f8ecc561b,send,0x3807a4fd8ed467d21c577a833868c4ad03dc21c2,ID,-83.46199999999999
16/05/2023,22:38:57,arb,0x21d7b2fcd365b8a42ff67abd89fc45aa483c90652d9aa1b35889dc41e99abcfe,https://arbiscan.io/tx/0x21d7b2fcd365b8a42ff67abd89fc45aa483c90652d9aa1b35889dc41e99abcfe,send,0x430cff5356fdbad334e8c992e5be56bed769b0ce,ETH,-0.12378118957678673
20/11/2022,02:06:27,op,0x6319ae481f51772ca7b443b557a47ebec5316f1062eee6d561c93c407dcc6fc6,https://optimistic.etherscan.io/tx/0x6319ae481f51772ca7b443b557a47ebec5316f1062eee6d561c93c407dcc6fc6,send,0x435e706a7544d65389e51455ce8411ed5920a975,WETH,-0.13344
01/12/2022,16:33:23,op,0x9027658f5dbd1ccbc9ea76cd2c900b067c5f5d911fce58ab4b389c13a317b46c,https://optimistic.etherscan.io/tx/0x9027658f5dbd1ccbc9ea76cd2c900b067c5f5d911fce58ab4b389c13a317b46c,send,0x448eb1f657e3ae6b381f3f82321b838af4fea266,SNX,-12.32
12/05/2023,14:54:57,op,0xf2f0da70ae77a4847c9a3d74e4a5ecffc35d1ce1324726a84e246750de6f67d4,https://optimistic.etherscan.io/tx/0xf2f0da70ae77a4847c9a3d74e4a5ecffc35d1ce1324726a84e246750de6f67d4,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,S*USDC,-1018.71831
10/05/2023,20:50:42,matic,0xc6578384658cc37c6b8f2097131b3076e9845ff5e4293763798ed56cb734c55c,https://polygonscan.com/tx/0xc6578384658cc37c6b8f2097131b3076e9845ff5e4293763798ed56cb734c55c,send,0x5dd4eee26c31b44dff545c764742d6800dae3dc5,USDC,-1065.689522
12/07/2023,18:43:48,arb,0x27959e5ab79d80e9e017c09fe7a0eb9653edf50595f07be5d65acebbac83b820,https://arbiscan.io/tx/0x27959e5ab79d80e9e017c09fe7a0eb9653edf50595f07be5d65acebbac83b820,send,0x657927a7956af4aba0b7407c5af964360c592e46,USDC,-944.711124
27/01/2021,13:18:36,eth,0x9ac045838fd51345cca953f2afc03d8c22256c69c7395e350d1cb3c1b35345e1,https://etherscan.io/tx/0x9ac045838fd51345cca953f2afc03d8c22256c69c7395e350d1cb3c1b35345e1,receive,0x657927a7956af4aba0b7407c5af964360c592e46,ETH,0.03
01/12/2022,16:33:38,op,0x9c75396c0759c6bb4a3c56fdd52ccc812426d092cc8bdc0c25e0b57b890b91af,https://optimistic.etherscan.io/tx/0x9c75396c0759c6bb4a3c56fdd52ccc812426d092cc8bdc0c25e0b57b890b91af,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,ETH,-0.034
01/12/2022,16:32:53,op,0x2f15e7b0a90ded0d8654d5a3466a1805cca3e4da1c87037d4cd0ee041b60b21d,https://optimistic.etherscan.io/tx/0x2f15e7b0a90ded0d8654d5a3466a1805cca3e4da1c87037d4cd0ee041b60b21d,send,0x66419605e28803b0b7c3400d536db5853f7bd15b,USDC,-272.357
01/03/2023,02:01:36,arb,0x818eab52d005fe5baf6013f2e7f6574d986da950e5ce544b2396d6fa1f618369,https://arbiscan.io/tx/0x818eab52d005fe5baf6013f2e7f6574d986da950e5ce544b2396d6fa1f618369,send,0x7be5549740bad29e58410683fb222a8331b71cfb,ETH,-0.1030938
14/09/2022,21:19:49,arb,0xb9b14853102775c9d6338fbba25c30c32c0030a2c751071a604d35a818b6e578,https://arbiscan.io/tx/0xb9b14853102775c9d6338fbba25c30c32c0030a2c751071a604d35a818b6e578,send,0x7bf97810d8cfac70d9b80d35b8e0aba85a003ac0,ETH,-0.1699
03/12/2022,23:18:07,arb,0x8d73f8b7be2a5b00b6f825eb1db2dd785c1ac66c4bf65546994d3d0788125b9f,https://arbiscan.io/tx/0x8d73f8b7be2a5b00b6f825eb1db2dd785c1ac66c4bf65546994d3d0788125b9f,receive,0x7cfd86fab2dd3ef58dda08856da8a154615cb8c1,ETH,33.03515993804054
03/12/2022,23:19:11,arb,0x53ee20626a02d9ba793d1792dab119efbc40dc3737fe1cfc4c4db02323874a4d,https://arbiscan.io/tx/0x53ee20626a02d9ba793d1792dab119efbc40dc3737fe1cfc4c4db02323874a4d,send,0x8fb2a2122b72c101f1086c9e0ac2d7bac98b4e1d,ETH,-33.03553023112647
27/01/2021,15:07:14,eth,0x7887c960a54a954d8150dcfbc223744d5fe168514ed82e6b2065fdd76f9c7ab5,https://etherscan.io/tx/0x7887c960a54a954d8150dcfbc223744d5fe168514ed82e6b2065fdd76f9c7ab5,receive,0x9f1eb0d332bf02bb5f1178bf7daff2ca3025c354,ETH,0.005
02/11/2022,20:53:30,op,0x6cce4ee186cf7f4f05ad381f59ccb2e06d6326aa78782953234c86ab545e819d,https://optimistic.etherscan.io/tx/0x6cce4ee186cf7f4f05ad381f59ccb2e06d6326aa78782953234c86ab545e819d,send,0xe26a627b0df144c028786639778b70353841227c,WETH,-1.011253867093372
