Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
21/02/2024,17:00:09,matic,0x95855a3716a39213cfe5e4c26e933891eec12ba4cb51a43d72f8932040c14093,https://polygonscan.com/tx/0x95855a3716a39213cfe5e4c26e933891eec12ba4cb51a43d72f8932040c14093,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-16.913461
19/12/2023,13:49:43,linea,0x6b522110a09df5df4170adff600294a07d512d68dfcbf15b025bfef9063a401c,https://lineascan.build/tx/0x6b522110a09df5df4170adff600294a07d512d68dfcbf15b025bfef9063a401c,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-17
16/12/2023,15:53:01,linea,0x9ffccd479ed2a318205521981770ab839214a93de4acc03a83c5872fd2dd16b0,https://lineascan.build/tx/0x9ffccd479ed2a318205521981770ab839214a93de4acc03a83c5872fd2dd16b0,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,17
13/12/2023,00:48:50,nova,0x97c2ea04563fe9f96f6a3ca45382a7eb5688db0f9ebe4abf21cef4f01cc155b6,https://nova.arbiscan.io/tx/0x97c2ea04563fe9f96f6a3ca45382a7eb5688db0f9ebe4abf21cef4f01cc155b6,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,ETH,-0.00397099907073947
25/08/2023,21:32:30,ftm,0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,https://ftmscan.com/tx/0x5f04b12587e91cde430fcffacc06116bffc817ccd864144e99b3d4979764cef3,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,MERK,0.1
14/08/2023,13:25:15,matic,0xa277c310d3c31d51e862c363d70640c9cf7dfc20876f961b035f4cc545e24474,https://polygonscan.com/tx/0xa277c310d3c31d51e862c363d70640c9cf7dfc20876f961b035f4cc545e24474,send,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,-100
15/01/2023,22:55:03,op,0x556b5076ba781a7251516e49112c6a3bf74d6ba89a116376a8de81f9d2baa92e,https://optimistic.etherscan.io/tx/0x556b5076ba781a7251516e49112c6a3bf74d6ba89a116376a8de81f9d2baa92e,receive,0x0571325cd46718cd9445f082332a4fd9a21b8498,USDC,40
25/04/2021,20:24:04,bsc,0x8afdc56a458f508fefda58f7ca52f77eefe56b4a91d83df787bc16fed2f91d33,https://bscscan.com/tx/0x8afdc56a458f508fefda58f7ca52f77eefe56b4a91d83df787bc16fed2f91d33,send,0x07b5049b43308d179b19d06b316a1f998f37a5be,BNB,-0.019895
03/12/2023,13:07:16,linea,0x062ac33226f48419146b9994924a1a8e2792136b3c8e27387685afba77496367,https://lineascan.build/tx/0x062ac33226f48419146b9994924a1a8e2792136b3c8e27387685afba77496367,send,0x202bd3b5018c6c3a9f2110283a68a70cc08cbafc,lETH,-0.02180980324447883
19/06/2023,01:57:37,bsc,0x41ad2abef806a895de6d483da5089acda8a24d6625c2e4376ce4f1721ab612ad,https://bscscan.com/tx/0x41ad2abef806a895de6d483da5089acda8a24d6625c2e4376ce4f1721ab612ad,send,0x202bd3b5018c6c3a9f2110283a68a70cc08cbafc,BNB,-0.03
12/12/2021,18:12:03,eth,0xb177fdc322f89d897cd585bc364d92a02e7bb86cb1007472a88cb20f3ac60bb7,https://etherscan.io/tx/0xb177fdc322f89d897cd585bc364d92a02e7bb86cb1007472a88cb20f3ac60bb7,send,0x2990ddfd09d3d4a6e48464604c815de9ae84e852,ETH,-0.0072
12/12/2021,18:07:37,eth,0xa5e397be3eae0608c1ebd5f28323c67a5f72636e332d851ebd9b434bb10436cd,https://etherscan.io/tx/0xa5e397be3eae0608c1ebd5f28323c67a5f72636e332d851ebd9b434bb10436cd,send,0x2bb84bc9ebf8b0b2643660b1e4d541f13d333d1f,ETH,-0.0072
23/02/2023,22:52:53,matic,0x6e14b603bfab0a5c8c20e61c4e6321af82159c2d8167e08037b6b04af103dfe4,https://polygonscan.com/tx/0x6e14b603bfab0a5c8c20e61c4e6321af82159c2d8167e08037b6b04af103dfe4,receive,0x2f0e84ccbc5e2c8dc37c23c28e06088910402dd6,CLGM,1
21/08/2023,02:21:15,xdai,0x669291cb8d12c30ae7ecb078fe8781fbc7038786869f669e3f2093827b38adaa,https://gnosisscan.io/tx/0x669291cb8d12c30ae7ecb078fe8781fbc7038786869f669e3f2093827b38adaa,send,0x2fb0f500c4c3d4c0a5a7e3a19a238585d90b4712,xDai,-0.07
22/11/2023,03:19:29,op,0xeb9e5f608365db0789c15f20bab2311a9f05a239d317a401b1333f7ff4e4a3e7,https://optimistic.etherscan.io/tx/0xeb9e5f608365db0789c15f20bab2311a9f05a239d317a401b1333f7ff4e4a3e7,send,0x41116f612656b4b1a1171f1f8155d551ae64f45c,ETH,-0.5672
18/06/2023,22:37:25,bsc,0x5a2628ee337ac33db8c790484b55c275e0d5575ec4eb97623c8f633f571251fe,https://bscscan.com/tx/0x5a2628ee337ac33db8c790484b55c275e0d5575ec4eb97623c8f633f571251fe,send,0x41116f612656b4b1a1171f1f8155d551ae64f45c,BNB,-0.03
21/08/2023,02:15:25,xdai,0x8bc91c921b7dd212f980ff71da7eb12fb2246b4857ffbf9167c8e1e090725409,https://gnosisscan.io/tx/0x8bc91c921b7dd212f980ff71da7eb12fb2246b4857ffbf9167c8e1e090725409,send,0x4a452f9bef88ee3dbb9de2f092a46bea1d35ef4e,xDai,-0.07
12/12/2021,18:07:45,eth,0xa69c9fac37f7ca68ce48a4e15fee6411c84f29ca47a404518d54114b0a50c543,https://etherscan.io/tx/0xa69c9fac37f7ca68ce48a4e15fee6411c84f29ca47a404518d54114b0a50c543,send,0x5b228f055a70beeda44e3fa19c94745a32d66faa,ETH,-0.0072
22/06/2023,21:03:41,op,0xc84b3f6f8ca84d5dd3742024185d59d6f24cec321b0321a681410a7d7ff7eae8,https://optimistic.etherscan.io/tx/0xc84b3f6f8ca84d5dd3742024185d59d6f24cec321b0321a681410a7d7ff7eae8,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,COLLAB,-10
11/06/2023,01:56:09,op,0x44dc715f4ee2dc33a9fa9b57221ffa0218b8ae38f8fd5c396c14ff7885fd11e8,https://optimistic.etherscan.io/tx/0x44dc715f4ee2dc33a9fa9b57221ffa0218b8ae38f8fd5c396c14ff7885fd11e8,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,USDC,-53.174446
11/06/2023,01:52:23,op,0xa6396a6fb3bf6304bd96b32149f8886f8b9922d1046c1023d4562d17ffa97882,https://optimistic.etherscan.io/tx/0xa6396a6fb3bf6304bd96b32149f8886f8b9922d1046c1023d4562d17ffa97882,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,sUSD,-67.79314127537057
03/03/2023,00:13:52,matic,0x4a27a95ac9b45c50eec3c93514c493ae9ea3d00d41376b8084c5ee80f539a529,https://polygonscan.com/tx/0x4a27a95ac9b45c50eec3c93514c493ae9ea3d00d41376b8084c5ee80f539a529,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,GALHOL,1
21/02/2023,21:44:17,op,0xfd8682a7d9c272f902339459a737fb5dc60c51790e88df095447ad301d248182,https://optimistic.etherscan.io/tx/0xfd8682a7d9c272f902339459a737fb5dc60c51790e88df095447ad301d248182,send,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,OP,-7.282596441890546
19/02/2023,15:57:27,nova,0xf6959c3270bf4f82f0401cff74ce5b43190260487f9db317b020453ad1cc6716,https://nova.arbiscan.io/tx/0xf6959c3270bf4f82f0401cff74ce5b43190260487f9db317b020453ad1cc6716,receive,0x8267c176cd2099c0f8356d1a356c8b3372a5d022,ETH,0.002
