Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
28/12/2022,23:54:29,op,0xb6d4bac5d406ab87f554ff30ecbed7461f0f133b280d12c028b9f5949d4bcb7f,https://optimistic.etherscan.io/tx/0xb6d4bac5d406ab87f554ff30ecbed7461f0f133b280d12c028b9f5949d4bcb7f,receive,0x0b4804448178aca113605de265de729173fcbc2f,USDC,100.773001
28/12/2022,23:48:59,op,0xf331dff24bf236e5df9267dedc5bbc708dda743ad4539b438c323a325a060486,https://optimistic.etherscan.io/tx/0xf331dff24bf236e5df9267dedc5bbc708dda743ad4539b438c323a325a060486,receive,0x1501181c55501594a379c2e346f3da2072765539,USDC,100.27437
29/12/2022,00:04:59,op,0x705e9a779a4b0c9bce097b8cd23936e50bad71cbf7d15bb3c0ca1b428e2dca63,https://optimistic.etherscan.io/tx/0x705e9a779a4b0c9bce097b8cd23936e50bad71cbf7d15bb3c0ca1b428e2dca63,receive,0x19f26c650cddc9bd75877b928a90005d45c485a1,USDC,100.153126
28/12/2022,23:59:14,op,0x037f9c292ec415f47737cb8ff0256c2427516d68e1a3bce3ec6771cb2a848d61,https://optimistic.etherscan.io/tx/0x037f9c292ec415f47737cb8ff0256c2427516d68e1a3bce3ec6771cb2a848d61,receive,0x1adc6d46b9ae94b80ce4ad63510ad22a866abd04,USDC,101.322535
28/12/2022,23:46:59,op,0x4d82a1ffd2b888d14b5f59c83b0af02c1eb372ebe034d71abd2f4d57bfb1a39a,https://optimistic.etherscan.io/tx/0x4d82a1ffd2b888d14b5f59c83b0af02c1eb372ebe034d71abd2f4d57bfb1a39a,receive,0x332774862749ed493d62a0d3cce8a7a68069b2f3,USDC,100.496781
29/12/2022,00:02:44,op,0x7caa18d3191c4fb938fea54f4440f4904cf0aa45c53f0de5f901b0558a02c07e,https://optimistic.etherscan.io/tx/0x7caa18d3191c4fb938fea54f4440f4904cf0aa45c53f0de5f901b0558a02c07e,receive,0x3f13cc91ff736bf55411ad5957372cde3ed08e76,USDC,99.973468
28/12/2022,23:51:59,op,0xedd0e849f9532b70b55a57fdf829390d3724b139c12633b1707ca6885c944b7e,https://optimistic.etherscan.io/tx/0xedd0e849f9532b70b55a57fdf829390d3724b139c12633b1707ca6885c944b7e,receive,0x43f90284923ba219f66d9891f8a4080b6a8d8f49,USDC,100.327419
21/04/2023,18:51:48,arb,0xf13f7f661670996650375d289108ffd2fa696fa97a67f85c61c250f31aa1b17d,https://arbiscan.io/tx/0xf13f7f661670996650375d289108ffd2fa696fa97a67f85c61c250f31aa1b17d,send,0x47f796d67501b5d0ddf8e9f33b5191872c319fb3,AISHIB,-423362560000
28/12/2022,23:45:14,op,0xfc7279d36e5822aae6bab776cf5b63b2c6e7278bea6667a058d4fdd7fda2961f,https://optimistic.etherscan.io/tx/0xfc7279d36e5822aae6bab776cf5b63b2c6e7278bea6667a058d4fdd7fda2961f,receive,0x47f796d67501b5d0ddf8e9f33b5191872c319fb3,USDC,101.124517
28/12/2022,23:57:29,op,0x71a86c4c789c78987d4a691ffec4395b0da81d1037e85edb82625bc1b6926ac8,https://optimistic.etherscan.io/tx/0x71a86c4c789c78987d4a691ffec4395b0da81d1037e85edb82625bc1b6926ac8,receive,0x4dbc3ebb0006bf44804f0b7324af08b12d3fc61b,USDC,100.183628
28/12/2022,23:50:29,op,0x7c4afbf709fa66b3188e9a6d0466b5aea3f9abd8db58adc880a334763b64dd9b,https://optimistic.etherscan.io/tx/0x7c4afbf709fa66b3188e9a6d0466b5aea3f9abd8db58adc880a334763b64dd9b,receive,0x537624ec3ab813311b9268dbf3a3c03e2adaba09,USDC,101.454741
23/03/2023,22:23:04,arb,0xc940103b120b52f6d02296e28e67e447e6e52a313e4d84ccc17b510b52a8a066,https://arbiscan.io/tx/0xc940103b120b52f6d02296e28e67e447e6e52a313e4d84ccc17b510b52a8a066,send,0x6f2fd4d1151522b2a16a53b4d7990dbcd09dc657,ARB,-1125
28/12/2022,23:53:29,op,0x70fca4d18f557129188e53b16df82ed39a0134203fcfe675371435a93a7f0399,https://optimistic.etherscan.io/tx/0x70fca4d18f557129188e53b16df82ed39a0134203fcfe675371435a93a7f0399,receive,0x84bd382cd502c8a5bbe96367614164c77778a226,USDC,99.752879
28/12/2022,23:52:44,op,0xa736b25c58d67c02743e2e1829c1af2915e2236bb67f8239aae4b8de9159f425,https://optimistic.etherscan.io/tx/0xa736b25c58d67c02743e2e1829c1af2915e2236bb67f8239aae4b8de9159f425,receive,0x885a8ddb2f208227f2ebb8d4e9d4c1bb1381913f,USDC,100.964134
28/12/2022,23:58:14,op,0x3f305938c7ba05a941f56ea6dc36eeee583c3a846863162ba962a6c46b244c6b,https://optimistic.etherscan.io/tx/0x3f305938c7ba05a941f56ea6dc36eeee583c3a846863162ba962a6c46b244c6b,receive,0x90d441c257d1d687c0b2aec4fb06eed5e1cb4899,USDC,100.148815
07/01/2023,02:52:27,op,0xd4efdfa32bd60069b111ed90ae153367b57326025546cf8a0aef27344d840059,https://optimistic.etherscan.io/tx/0xd4efdfa32bd60069b111ed90ae153367b57326025546cf8a0aef27344d840059,receive,0x9b5d04a2f8310a19b0afe726ab47337198d47b8f,ETH,0.04
29/12/2022,00:01:29,op,0xf48149e082fdacb73e2b5dec56acaf25ba4deb1cabbd24467269d96c2f1b4dc4,https://optimistic.etherscan.io/tx/0xf48149e082fdacb73e2b5dec56acaf25ba4deb1cabbd24467269d96c2f1b4dc4,receive,0xadeaa3b9f123b92ba0b5f6f13ef7b91e3ee3def4,USDC,100.386636
28/12/2022,23:50:14,op,0xced02d53726654ee8e849c1f4437ddaeb7178349affa9c3c78dd1424ced625f0,https://optimistic.etherscan.io/tx/0xced02d53726654ee8e849c1f4437ddaeb7178349affa9c3c78dd1424ced625f0,receive,0xb17fc964cc3c66b88cc8ed87ba7cd6407068fa7d,USDC,101.688951
17/10/2023,15:47:06,avax,0x5b5235654bc6a5b532c8b4456ab82f68f8366fbd49faad028c8b395b83c1f355,https://snowtrace.io/tx/0x5b5235654bc6a5b532c8b4456ab82f68f8366fbd49faad028c8b395b83c1f355,receive,0xb88f268504d29fae95ed1f347607090a2d12938f,AVAX,0.22
28/12/2022,23:51:14,op,0x4bac4c0ff50c4b637b12a206bf0524b10a47c24f8a2361657383fcdffbad8e2d,https://optimistic.etherscan.io/tx/0x4bac4c0ff50c4b637b12a206bf0524b10a47c24f8a2361657383fcdffbad8e2d,receive,0xb8a870e699063e34a4b90fc32250ae0999a46e99,USDC,99.791154
28/12/2022,23:44:44,op,0x74bf2d225362692c5af1c8fde857eda0e1f62c91a26922c1cb725030af6f4747,https://optimistic.etherscan.io/tx/0x74bf2d225362692c5af1c8fde857eda0e1f62c91a26922c1cb725030af6f4747,receive,0xc7341e6e2a6a02f9e58ae2cba8dc4c4b95582ca8,USDC,100.407363
28/12/2022,23:49:29,op,0x4106389e50feda3bcde2fc2a1672bd12a56019e26172938640d79cb454d290d2,https://optimistic.etherscan.io/tx/0x4106389e50feda3bcde2fc2a1672bd12a56019e26172938640d79cb454d290d2,receive,0xec4d8bcb4ca861e6033e36f247d71f9231bdae5c,USDC,102.013952
28/12/2022,23:45:59,op,0xe15820503ae053d49b11c40e36ea97122d29c97ad3deb23d3873ea61fe40e377,https://optimistic.etherscan.io/tx/0xe15820503ae053d49b11c40e36ea97122d29c97ad3deb23d3873ea61fe40e377,receive,0xf2c779c687b98458e1403454f776e574039a6c64,USDC,99.906993
