Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
17/04/2022,21:03:35,matic,0x05a5a21f4a0e6362912844ee2c1a6f83977ddc298bb31bbff286822f8a2dc1a6,https://polygonscan.com/tx/0x05a5a21f4a0e6362912844ee2c1a6f83977ddc298bb31bbff286822f8a2dc1a6,send,0x0662eda107f75354172d6978694c94e5118395e7,Easter,-1
17/04/2022,20:50:11,matic,0xe1dadfc0535e7ff25ce5ae825e57ba15b54bb3e6b8b8f7bb89d7b7de5c8c694b,https://polygonscan.com/tx/0xe1dadfc0535e7ff25ce5ae825e57ba15b54bb3e6b8b8f7bb89d7b7de5c8c694b,receive,0x1003cc9652a2a6fec5fcfd04230ea0d01b12fdf3,Easter,1
07/04/2022,15:03:51,bsc,0xa1d0f423dfcf60bdb9002e4b9de7b00cb45688f05a35c003a71517a4bc56c92c,https://bscscan.com/tx/0xa1d0f423dfcf60bdb9002e4b9de7b00cb45688f05a35c003a71517a4bc56c92c,receive,0x1003cc9652a2a6fec5fcfd04230ea0d01b12fdf3,USDT,16
07/11/2022,19:03:04,bsc,0x56fef1e9e6bb9ca68bd82d242daf4c60f3cc68db022d9a35e262d090d7b3e0d3,https://bscscan.com/tx/0x56fef1e9e6bb9ca68bd82d242daf4c60f3cc68db022d9a35e262d090d7b3e0d3,send,0x1196553c1604f964b34ef823c9412ae7cfb3e08b,FST,-300
22/03/2022,22:23:59,matic,0x02f9d4ed5b8999f493ed4c1e8aeee98a836f8714edbf903621f4bd795d1b95fa,https://polygonscan.com/tx/0x02f9d4ed5b8999f493ed4c1e8aeee98a836f8714edbf903621f4bd795d1b95fa,send,0x1196553c1604f964b34ef823c9412ae7cfb3e08b,USDC,-160
18/02/2022,12:13:55,bsc,0xe307488cf64f360517acb814160467b17129f06ba7719d84f360438dcb91b991,https://bscscan.com/tx/0xe307488cf64f360517acb814160467b17129f06ba7719d84f360438dcb91b991,receive,0x1196553c1604f964b34ef823c9412ae7cfb3e08b,USDT,110
13/01/2022,13:16:14,matic,0x113414b6810a407f6730dc5959809304ac7b58ec58c6d434d2a918c1f363666d,https://polygonscan.com/tx/0x113414b6810a407f6730dc5959809304ac7b58ec58c6d434d2a918c1f363666d,receive,0x1196553c1604f964b34ef823c9412ae7cfb3e08b,MATIC,1
06/12/2021,12:00:58,matic,0x14ab6fe1d3ebbbca9381677af53e69ef79dbc76138315c74e9e58c3d49d5a38d,https://polygonscan.com/tx/0x14ab6fe1d3ebbbca9381677af53e69ef79dbc76138315c74e9e58c3d49d5a38d,receive,0x1196553c1604f964b34ef823c9412ae7cfb3e08b,MATIC,2.5
05/12/2021,22:13:50,xdai,0xf23976a5684db453c811c104133cb0e62d3eec1410ab18339434255da0a6a27a,https://gnosisscan.io/tx/0xf23976a5684db453c811c104133cb0e62d3eec1410ab18339434255da0a6a27a,send,0x1196553c1604f964b34ef823c9412ae7cfb3e08b,xDai,-5
04/12/2021,11:44:20,xdai,0x9340ad1f853f1d47d2fc2e3bdb58dd85b1cb4639a7545a67db0c2ceb9d0fe42c,https://gnosisscan.io/tx/0x9340ad1f853f1d47d2fc2e3bdb58dd85b1cb4639a7545a67db0c2ceb9d0fe42c,send,0x1196553c1604f964b34ef823c9412ae7cfb3e08b,xDai,-35
07/05/2022,20:48:39,eth,0xdb47599524a351730f986f249dbe0e943590741ed22c4875ac9f6f214bda2918,https://etherscan.io/tx/0xdb47599524a351730f986f249dbe0e943590741ed22c4875ac9f6f214bda2918,send,0x40fec4c12154e01090caa7c347e6a89c9996327b,ETH,-0.207
12/01/2022,12:24:10,bsc,0x21b2f8ec488f0f3086d86a5a9f370524a4b3c53f5d46ec095c26b0deb43130e6,https://bscscan.com/tx/0x21b2f8ec488f0f3086d86a5a9f370524a4b3c53f5d46ec095c26b0deb43130e6,send,0x438e85d541b4f095e3658f5dafa45d3edcc91e25,,-1
27/02/2024,15:59:09,mnt,0xb8424ed28a240b8c2ccf2ba7b0f7e05ce4b786f4aabd11e516c3d7dfc3dbe31f,https://mantlescan.xyz/tx/0xb8424ed28a240b8c2ccf2ba7b0f7e05ce4b786f4aabd11e516c3d7dfc3dbe31f,receive,0x4fd66e36f28b7b39edeb300cfb689b7e3cfd38e6,USDT,2.730228
10/01/2024,21:09:11,eth,0xd7b9f067b814ceeb74d3890c52a7c8030aa5bfff95ec61d5c87fd5f1e2402c50,https://etherscan.io/tx/0xd7b9f067b814ceeb74d3890c52a7c8030aa5bfff95ec61d5c87fd5f1e2402c50,receive,0x5592ec3232a55d10359a2a1066892875f4160ce7,ETH,0.12
31/08/2022,14:35:55,matic,0x60bb2d3d1c3b5921624a16fe975e2931f50810e92544c2ad6a472bdb287ef5a5,https://polygonscan.com/tx/0x60bb2d3d1c3b5921624a16fe975e2931f50810e92544c2ad6a472bdb287ef5a5,receive,0x5592ec3232a55d10359a2a1066892875f4160ce7,MATIC,0.1
31/08/2022,14:33:19,matic,0x3b0d88c250e227a36dde31d3989fd3f50fa6dcac74cd7c98462d6063749d0821,https://polygonscan.com/tx/0x3b0d88c250e227a36dde31d3989fd3f50fa6dcac74cd7c98462d6063749d0821,send,0x5592ec3232a55d10359a2a1066892875f4160ce7,MATIC,-2
