Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
20/06/2023,18:50:48,core,0x4bc181be54326604f188baee77774c73059e706381a188430b3a8083ffcbad73,https://scan.coredao.org/tx/0x4bc181be54326604f188baee77774c73059e706381a188430b3a8083ffcbad73,send,0x0eaea94b84ef62fa7e30624041051537561ea470,CORE,-1
20/06/2023,18:24:57,core,0xa20d1aa98601c9c512935f2887d553e300a3045d4407d6e3cc8fe0a14638f68c,https://scan.coredao.org/tx/0xa20d1aa98601c9c512935f2887d553e300a3045d4407d6e3cc8fe0a14638f68c,send,0x0eaea94b84ef62fa7e30624041051537561ea470,CORE,-0.07
20/06/2023,18:25:12,core,0x88a23b860df831e899ccb74d94484ce406799348ff9e019cf15d4fa0f7a99947,https://scan.coredao.org/tx/0x88a23b860df831e899ccb74d94484ce406799348ff9e019cf15d4fa0f7a99947,send,0x115886e27bdc61f236769f3b089e4d01e6c30780,CORE,-0.07
20/07/2023,23:40:11,eth,0x2237b1e7499847167a19a4c0a429f6d3bd9593c1deac94ecf00407ef7665642d,https://etherscan.io/tx/0x2237b1e7499847167a19a4c0a429f6d3bd9593c1deac94ecf00407ef7665642d,receive,0x14a825d50c5210cce89d4da728a66e2b24ff0cab,ETH,0.0015
28/02/2023,03:47:16,arb,0x8f4ac8b65199300490d0566f1393545e3f79c643a46a79a829098d6ff460b95a,https://arbiscan.io/tx/0x8f4ac8b65199300490d0566f1393545e3f79c643a46a79a829098d6ff460b95a,send,0x14a825d50c5210cce89d4da728a66e2b24ff0cab,ETH,-0.001291789671902453
28/02/2023,03:47:11,op,0xd0ae084b7d726217a7c82f7a515d3ade62d0dfdff4a94575b5849cce13ad9b8e,https://optimistic.etherscan.io/tx/0xd0ae084b7d726217a7c82f7a515d3ade62d0dfdff4a94575b5849cce13ad9b8e,receive,0x14a825d50c5210cce89d4da728a66e2b24ff0cab,ETH,0.0015
20/06/2023,18:24:30,core,0x99fa5e96f8cc1f704151556b07bbaa54687a9d9242157af75113488834106d86,https://scan.coredao.org/tx/0x99fa5e96f8cc1f704151556b07bbaa54687a9d9242157af75113488834106d86,send,0x1b99bf9274a745597bed00c4b9be2d92777a23e1,CORE,-0.07
20/06/2023,19:34:06,core,0xbc0b1ed8aa524fe4fe6116b1cd877df6daf9834343360b80a6f0019677fde30c,https://scan.coredao.org/tx/0xbc0b1ed8aa524fe4fe6116b1cd877df6daf9834343360b80a6f0019677fde30c,send,0x286a99726e1248747c19b8dc24f6d15a1151205b,CORE,-0.07
19/06/2023,23:18:05,core,0x6f06d1122b84889c5ab9244bf4f76c35fa7502156bd6e2c92bceb28cdf6c70b5,https://scan.coredao.org/tx/0x6f06d1122b84889c5ab9244bf4f76c35fa7502156bd6e2c92bceb28cdf6c70b5,send,0x2b12ee5fced243027c9d8e574111f720d551839c,CORE,-0.03
20/05/2023,21:40:18,op,0xe60a631a13a04c7da316ca8d4c4103a526023a0ace6f9da8396c371f0c6d8ad1,https://optimistic.etherscan.io/tx/0xe60a631a13a04c7da316ca8d4c4103a526023a0ace6f9da8396c371f0c6d8ad1,send,0x3d0bb7cb65467aaf491640f110da7822b06aadce,ETH,-0.0041
