Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
23/07/2023,19:08:15,era,0x0ae4e4043f250970d0b299607246a634a940e987071384262dca292cd30dc2cd,https://era.zksync.network/tx/0x0ae4e4043f250970d0b299607246a634a940e987071384262dca292cd30dc2cd,receive,0x00b759ff70fa86eee8e49d4f863806b99959dcbf,ETH,3.13e-10
09/02/2024,22:26:48,opbnb,0x3a75f244868fcd2e29ae8f2b2b4d9450cc515b3a693598f2e4100977ea9e44fa,https://mainnet.opbnbscan.com/tx/0x3a75f244868fcd2e29ae8f2b2b4d9450cc515b3a693598f2e4100977ea9e44fa,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,BNB,3.85e-11
18/07/2023,04:42:25,nova,0xe212b1918b1431c3f658b44aabbd9c60a83b06ba2e88630a13cd109b5a85742a,https://nova.arbiscan.io/tx/0xe212b1918b1431c3f658b44aabbd9c60a83b06ba2e88630a13cd109b5a85742a,receive,0x017d1605f4aab803e806e22295ecf36ec924ed64,ETH,1e-10
23/07/2023,19:17:43,era,0x6d59cbeec4bfa26e297288209bfa6aaeb6db1cbb19f0c1094e81cc398bb3fc0d,https://era.zksync.network/tx/0x6d59cbeec4bfa26e297288209bfa6aaeb6db1cbb19f0c1094e81cc398bb3fc0d,receive,0x01a3779e7af31eae0a766c9475393eb7c60d1985,ETH,3.13e-10
23/07/2023,19:14:33,era,0xd065475f1513d1471d739082ca58b19e016863becba548b83ca05078bdf050b1,https://era.zksync.network/tx/0xd065475f1513d1471d739082ca58b19e016863becba548b83ca05078bdf050b1,receive,0x01c4e8f01d86821035c8298d95c5ea249ad78b70,ETH,3.13e-10
23/07/2023,17:32:05,era,0x97ed7571a1d0141ccaa577bbc940f22aade5f14f2fbbb75e164150d13ba3cbb4,https://era.zksync.network/tx/0x97ed7571a1d0141ccaa577bbc940f22aade5f14f2fbbb75e164150d13ba3cbb4,receive,0x0667a7346320b783cfa566f53084748608392c34,ETH,3.13e-10
23/07/2023,17:32:03,era,0xdc8019a6f9fb411fdf9010a64d3305a36ba677dcc104bac394ca417b6960c4a8,https://era.zksync.network/tx/0xdc8019a6f9fb411fdf9010a64d3305a36ba677dcc104bac394ca417b6960c4a8,receive,0x0667a7346320b783cfa566f53084748608392c34,ETH,3.13e-10
20/03/2024,00:36:43,base,0x9548319c235898c46caa3c89a26852d7adc40b3969da08685dabc0213074fc6e,https://www.basescan.org/tx/0x9548319c235898c46caa3c89a26852d7adc40b3969da08685dabc0213074fc6e,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,2.06e-11
12/02/2024,21:32:55,era,0x3751a7ab6fd6e948275829533c0b8a8c907a2ba7916f634f6b8b86ddb04833d2,https://era.zksync.network/tx/0x3751a7ab6fd6e948275829533c0b8a8c907a2ba7916f634f6b8b86ddb04833d2,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,8.4e-12
12/02/2024,15:18:41,base,0x5e9a53f85c41b9463f8602ff3926b10321a096a05589ecf1e8e39e9edc69cdc9,https://www.basescan.org/tx/0x5e9a53f85c41b9463f8602ff3926b10321a096a05589ecf1e8e39e9edc69cdc9,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,1.75e-11
10/10/2023,04:18:35,era,0xb26338c2bcd1afb5635b05636d7b27404149eae7e5615d3d18bc20f9c02d6d49,https://era.zksync.network/tx/0xb26338c2bcd1afb5635b05636d7b27404149eae7e5615d3d18bc20f9c02d6d49,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,1.23e-11
02/10/2023,19:36:04,nova,0xfa68ff3e0019eb6d6fb36f2d96bc5a1d0ff14e83f8a4b3bf64429480f58ef208,https://nova.arbiscan.io/tx/0xfa68ff3e0019eb6d6fb36f2d96bc5a1d0ff14e83f8a4b3bf64429480f58ef208,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,7.8969599999e-8
25/09/2023,13:55:37,linea,0xd23b87ed53dc7e09043ef99d0e081b752b44eddcd4b078b28eb187cd67a742f2,https://lineascan.build/tx/0xd23b87ed53dc7e09043ef99d0e081b752b44eddcd4b078b28eb187cd67a742f2,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,6.6369599999e-8
25/09/2023,13:22:01,linea,0x318b119a4373ea4467be74fa39d45fbde8dc506667b72c4a2ddc36fef93053d5,https://lineascan.build/tx/0x318b119a4373ea4467be74fa39d45fbde8dc506667b72c4a2ddc36fef93053d5,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,6.6369599999e-8
25/09/2023,12:45:01,linea,0xba49e802c2a0c0777f06f820518e1c1a8d1decb88c706de91c81288e61645f3d,https://lineascan.build/tx/0xba49e802c2a0c0777f06f820518e1c1a8d1decb88c706de91c81288e61645f3d,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,6.6006608e-8
25/09/2023,12:43:47,base,0x2ea88d4f211ffadee400d811a4ad70fc253b746cec9a05d795e58dc3715e5810,https://www.basescan.org/tx/0x2ea88d4f211ffadee400d811a4ad70fc253b746cec9a05d795e58dc3715e5810,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,6.6006608e-8
25/09/2023,05:48:01,linea,0x510835f1542abfb7dd96c73afb950b498fd0c290b68511aec804431d21172d04,https://lineascan.build/tx/0x510835f1542abfb7dd96c73afb950b498fd0c290b68511aec804431d21172d04,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,6.6006608e-8
25/09/2023,05:34:23,base,0xb5771675910b70b99acc9365d9e287ec6094566e2996dba034f35402897e2894,https://www.basescan.org/tx/0xb5771675910b70b99acc9365d9e287ec6094566e2996dba034f35402897e2894,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,6.6006608e-8
22/09/2023,17:01:13,pze,0x10b1563eec84f7f97eefae427e52fe65ebfae9870a15c067df2405ed49bc9385,https://zkevm.polygonscan.com/tx/0x10b1563eec84f7f97eefae427e52fe65ebfae9870a15c067df2405ed49bc9385,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,5.79072e-10
22/09/2023,15:22:13,pze,0x40301a4f7872efb3f6b53ec56b54fe3d67d398931eb42b69b817590c8ce76fb3,https://zkevm.polygonscan.com/tx/0x40301a4f7872efb3f6b53ec56b54fe3d67d398931eb42b69b817590c8ce76fb3,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,5.79072e-10
22/09/2023,14:48:42,pze,0xaee458e1cc0e0c0dffc18c4c462e84a2045c02974c3f8a2ea215be001b3ff9f6,https://zkevm.polygonscan.com/tx/0xaee458e1cc0e0c0dffc18c4c462e84a2045c02974c3f8a2ea215be001b3ff9f6,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,5.79072e-10
20/09/2023,03:53:35,base,0x55ee30dc5feb48eb11015b0033b6a8fe3a4203bacc72ee79e3763fb0b383cb35,https://www.basescan.org/tx/0x55ee30dc5feb48eb11015b0033b6a8fe3a4203bacc72ee79e3763fb0b383cb35,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,5.79072e-10
20/09/2023,03:40:17,base,0xa7601b491a963015f74386dfcb30b75347e39386d238580432517465bc9c0b92,https://www.basescan.org/tx/0xa7601b491a963015f74386dfcb30b75347e39386d238580432517465bc9c0b92,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,5.79072e-10
19/09/2023,01:07:53,op,0x7741b1dbdbbb8845bf10a37eeb7bb9624eca8ad582d75f2e1bc04e3f9d166362,https://optimistic.etherscan.io/tx/0x7741b1dbdbbb8845bf10a37eeb7bb9624eca8ad582d75f2e1bc04e3f9d166362,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,5.7907199999e-8
18/07/2023,04:42:13,nova,0x3dbaf71a1ac7ac45307837e46ec5731f0237d8029f11d5b10c4e5b40226141d5,https://nova.arbiscan.io/tx/0x3dbaf71a1ac7ac45307837e46ec5731f0237d8029f11d5b10c4e5b40226141d5,receive,0x066908883faee14f35551a218624a187c7edf2e7,ETH,1e-10
18/07/2023,04:42:43,nova,0x32c9599202c2dedc622c7c0cb3601b48ab5a294b305f4ca90aae4c56d445fe43,https://nova.arbiscan.io/tx/0x32c9599202c2dedc622c7c0cb3601b48ab5a294b305f4ca90aae4c56d445fe43,receive,0x0794d1325f5c966fa9d8a565fe3fbe5000406e74,ETH,1e-10
23/07/2023,17:43:14,era,0x13f55e0008019df82b385827c5da01916a52391c738af9bee84882611bc20652,https://era.zksync.network/tx/0x13f55e0008019df82b385827c5da01916a52391c738af9bee84882611bc20652,receive,0x0997e8f630bf0feb86e5f7b7c5af329c0fdea7a8,ETH,3.13e-10
23/07/2023,17:26:10,era,0xe94b8d60bcb91442aa4cdfe7138b49b2994ca11a2651eef8b374080757aa05dd,https://era.zksync.network/tx/0xe94b8d60bcb91442aa4cdfe7138b49b2994ca11a2651eef8b374080757aa05dd,receive,0x0b8b645e5497db88bdb1c2797c8f0fca73a8730e,ETH,3.13e-10
20/03/2024,01:25:53,base,0x44f16a68a5e7f9d8b8c9116c3348a76f0320129dd05b230d71063691f5781906,https://www.basescan.org/tx/0x44f16a68a5e7f9d8b8c9116c3348a76f0320129dd05b230d71063691f5781906,receive,0x0d6cd97ce84e0dbe2ed0ba277f9485bffaf7179d,ETH,8.9e-12
19/03/2024,23:18:35,base,0x91e3649e0f72006d453c375b2f49481548d7501d271dbdb596e839a5afca6722,https://www.basescan.org/tx/0x91e3649e0f72006d453c375b2f49481548d7501d271dbdb596e839a5afca6722,receive,0x0d6cd97ce84e0dbe2ed0ba277f9485bffaf7179d,ETH,2.92e-11
15/02/2024,07:20:32,opbnb,0xa1a02484ef5e3a62467e92b38c179ccde5a7809b0a8848a7bcb9e968d1edaa52,https://mainnet.opbnbscan.com/tx/0xa1a02484ef5e3a62467e92b38c179ccde5a7809b0a8848a7bcb9e968d1edaa52,receive,0x0d6cd97ce84e0dbe2ed0ba277f9485bffaf7179d,BNB,1.71e-11
14/02/2024,03:55:03,base,0xef4a3e964aea5be72f08d0aa08a44e7c9fe29142e7d98da8544eb0213ba8e337,https://www.basescan.org/tx/0xef4a3e964aea5be72f08d0aa08a44e7c9fe29142e7d98da8544eb0213ba8e337,receive,0x0d6cd97ce84e0dbe2ed0ba277f9485bffaf7179d,ETH,1.01e-11
31/12/2023,05:19:31,opbnb,0x5b12e61db994ff68956b5ef58fd9ee7ab0746835bc36a369abc1f899310b37af,https://mainnet.opbnbscan.com/tx/0x5b12e61db994ff68956b5ef58fd9ee7ab0746835bc36a369abc1f899310b37af,receive,0x0d6cd97ce84e0dbe2ed0ba277f9485bffaf7179d,BNB,4.31e-11
31/12/2023,03:20:32,opbnb,0x006cb8e2b6fe39c75533ce015d1a29c730b1928a4301d81efccca78e12b26341,https://mainnet.opbnbscan.com/tx/0x006cb8e2b6fe39c75533ce015d1a29c730b1928a4301d81efccca78e12b26341,receive,0x0d6cd97ce84e0dbe2ed0ba277f9485bffaf7179d,BNB,3.43e-11
18/07/2023,04:40:22,nova,0x38a537cfd193ac1030300fa6b09e4c47fc17c03b597be56d703ed689bb4a9228,https://nova.arbiscan.io/tx/0x38a537cfd193ac1030300fa6b09e4c47fc17c03b597be56d703ed689bb4a9228,receive,0x0d6cd97ce84e0dbe2ed0ba277f9485bffaf7179d,ETH,1e-10
19/03/2024,23:42:37,base,0xbca8ea05a417407c618ff5f2a2a81434702c8f6a516f248dc20d6e79c47bfe05,https://www.basescan.org/tx/0xbca8ea05a417407c618ff5f2a2a81434702c8f6a516f248dc20d6e79c47bfe05,receive,0x0e5078f24bd2348d557ebbbb02b299be5350195e,ETH,4.5e-11
19/03/2024,23:21:39,base,0xf3a00e3819e55da61eaf49f40495f494ac56abe998fb51a045e0c3006e58fac6,https://www.basescan.org/tx/0xf3a00e3819e55da61eaf49f40495f494ac56abe998fb51a045e0c3006e58fac6,receive,0x0e5078f24bd2348d557ebbbb02b299be5350195e,ETH,3.24e-11
12/02/2024,22:00:56,era,0x3a7ddfed25670f8b01ec75cd7db43f709f8ff5113ed0fb12b3af35a05d471697,https://era.zksync.network/tx/0x3a7ddfed25670f8b01ec75cd7db43f709f8ff5113ed0fb12b3af35a05d471697,receive,0x0e5078f24bd2348d557ebbbb02b299be5350195e,ETH,3.12e-11
09/02/2024,20:26:56,opbnb,0xb015dd6f22bbd5ad1b1459598ffecd6e2f2d8dce531f79d0b3667860d03350cb,https://mainnet.opbnbscan.com/tx/0xb015dd6f22bbd5ad1b1459598ffecd6e2f2d8dce531f79d0b3667860d03350cb,receive,0x0e5078f24bd2348d557ebbbb02b299be5350195e,BNB,2.54e-11
30/12/2023,13:01:23,linea,0x150782d253551ef343c2b8bfb52e9befee90a556f4a2097659d739a0c614b768,https://lineascan.build/tx/0x150782d253551ef343c2b8bfb52e9befee90a556f4a2097659d739a0c614b768,receive,0x0e5078f24bd2348d557ebbbb02b299be5350195e,ETH,1.69e-11
19/10/2023,22:42:35,op,0x9ba2f4ecb55b68aeba195f6db06272726278e8163d12008a291d3e2c3e12daec,https://optimistic.etherscan.io/tx/0x9ba2f4ecb55b68aeba195f6db06272726278e8163d12008a291d3e2c3e12daec,receive,0x0e5078f24bd2348d557ebbbb02b299be5350195e,ETH,1.41e-11
18/07/2023,04:42:46,nova,0xe7ca1e3da8ec94c18665833896eb4e6a5662b63f3759824563c72dfa4852ace2,https://nova.arbiscan.io/tx/0xe7ca1e3da8ec94c18665833896eb4e6a5662b63f3759824563c72dfa4852ace2,receive,0x0e5078f24bd2348d557ebbbb02b299be5350195e,ETH,1e-10
23/07/2023,17:08:40,era,0x1d3aba6377de436d83d95983acc0d0eff36221aa5e54c0b55526561013add159,https://era.zksync.network/tx/0x1d3aba6377de436d83d95983acc0d0eff36221aa5e54c0b55526561013add159,receive,0x0ec2a76b590b3317d09693c980d4ee2207bc0c13,ETH,3.13e-10
09/02/2024,19:37:05,opbnb,0x6360010d5942476f049db7661bd2de39257011d368a7730ec646595c030b3302,https://mainnet.opbnbscan.com/tx/0x6360010d5942476f049db7661bd2de39257011d368a7730ec646595c030b3302,receive,0x1071b95b3442ac46992258e6ddcd1de597f249bf,BNB,4.23e-11
18/07/2023,04:42:31,nova,0x4cefc2670e40e7078f7b803c6c183c7b256b8506713af5023cf28a951f721166,https://nova.arbiscan.io/tx/0x4cefc2670e40e7078f7b803c6c183c7b256b8506713af5023cf28a951f721166,receive,0x1071b95b3442ac46992258e6ddcd1de597f249bf,ETH,1e-10
23/07/2023,17:00:00,era,0x30a0d67bf1709c4aaa092a3ed4d4d4ba264e8ac0335be7981c5cecb342a81a2b,https://era.zksync.network/tx/0x30a0d67bf1709c4aaa092a3ed4d4d4ba264e8ac0335be7981c5cecb342a81a2b,receive,0x1201a02db916aae571f33f22cee99237b58b55b9,ETH,3.13e-10
20/03/2024,00:06:47,base,0x411e9a3b215b4da1304be1be9d84ca54f49bb0dfd6145b2acf49610a28119d6e,https://www.basescan.org/tx/0x411e9a3b215b4da1304be1be9d84ca54f49bb0dfd6145b2acf49610a28119d6e,receive,0x128fd62076ea520156157005ce77d0265f2113bb,ETH,2.36e-11
15/02/2024,07:37:20,opbnb,0x832a5b2cafaa005bd6320a5427f95a15a50e81a994fcaf8cbcc3d3b33ce9af9e,https://mainnet.opbnbscan.com/tx/0x832a5b2cafaa005bd6320a5427f95a15a50e81a994fcaf8cbcc3d3b33ce9af9e,receive,0x128fd62076ea520156157005ce77d0265f2113bb,BNB,2.25e-11
09/02/2024,20:37:03,opbnb,0xf0360ec10c10d0acd9e85d0e2ce617d7c4fd1afba5852289a65cdf3522d2cf5f,https://mainnet.opbnbscan.com/tx/0xf0360ec10c10d0acd9e85d0e2ce617d7c4fd1afba5852289a65cdf3522d2cf5f,receive,0x128fd62076ea520156157005ce77d0265f2113bb,BNB,2.28e-11
18/07/2023,04:41:01,nova,0x50434ceae4d0239085c6c58dfe41f46de06d54905ae8fe68868f268e6fe20aec,https://nova.arbiscan.io/tx/0x50434ceae4d0239085c6c58dfe41f46de06d54905ae8fe68868f268e6fe20aec,receive,0x128fd62076ea520156157005ce77d0265f2113bb,ETH,1e-10
23/07/2023,17:40:23,era,0xa2ea9b53da78b3e942254efe5eca16fd25d714654ca5e294ad40e6a09ee222bd,https://era.zksync.network/tx/0xa2ea9b53da78b3e942254efe5eca16fd25d714654ca5e294ad40e6a09ee222bd,receive,0x12d6cbf524fd1cf6b9028d2424a2c1f31d0a091a,ETH,3.13e-10
