Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
17/02/2023,03:16:35,eth,0xc7153cb4ddb982536f2ec2cdce63d8513c013b0ddfd44bc97d4eba0118583ba2,https://etherscan.io/tx/0xc7153cb4ddb982536f2ec2cdce63d8513c013b0ddfd44bc97d4eba0118583ba2,send,0x1d7d0d3543e92fa3184cf765b7ad72cd110c1663,ETH,-0.1
17/02/2023,03:15:47,eth,0x5838bf23efd67613ffb001a2ac6f45b9104c2d44349b435ad8d7e50c1db760e5,https://etherscan.io/tx/0x5838bf23efd67613ffb001a2ac6f45b9104c2d44349b435ad8d7e50c1db760e5,send,0x206f5d072b6087d6f19d19dab31bc9b7363b5867,ETH,-0.09
17/02/2023,03:17:11,eth,0x49188e44262ee3e8a84a722f9856ae47d7598a415457c17fdfdab7b3bef65cf8,https://etherscan.io/tx/0x49188e44262ee3e8a84a722f9856ae47d7598a415457c17fdfdab7b3bef65cf8,send,0x2da41fa53c21d77d0f882439b22cf7a7dcc8e493,ETH,-0.1
17/02/2023,22:18:11,eth,0x5d444eac073a8f45ff5a6ed66aec058e2813a7dad67dd9aa173f298a8c69c839,https://etherscan.io/tx/0x5d444eac073a8f45ff5a6ed66aec058e2813a7dad67dd9aa173f298a8c69c839,send,0x2fe9811e6b3cceb5c14cca6523f10ffdf4288af6,ETH,-0.8
17/02/2023,03:18:59,eth,0xad1db9d49ce017b8b0b902efc093210abc2378772750a85a04b0af332e8c147b,https://etherscan.io/tx/0xad1db9d49ce017b8b0b902efc093210abc2378772750a85a04b0af332e8c147b,send,0x48137bbc75b8ea959ccb2883da2d918ea2e6ef53,ETH,-0.1
26/02/2024,09:39:21,zora,0xcf8742d6e26893c7797c9f497c2a30e5baeb1caef7e84a55a774a870caf47645,https://explorer.zora.energy/tx/0xcf8742d6e26893c7797c9f497c2a30e5baeb1caef7e84a55a774a870caf47645,receive,0x49938fd9843cea438bebab92e8843dca311743b8,RyJ,69999
11/03/2021,14:46:40,eth,0x01c0ed2651ace310df5f595c1ff03be210eb0e57ccf645146f0864f6a2154287,https://etherscan.io/tx/0x01c0ed2651ace310df5f595c1ff03be210eb0e57ccf645146f0864f6a2154287,receive,0x59c001826f7620e76303d36d547dcfa5194bf986,USDT,6116.890799
06/09/2021,23:15:52,ftm,0x632658442ab27e0ac0bd0429ec5a4fad58eab0c0a9f4c7f4cef2e8cfc7052ef7,https://ftmscan.com/tx/0x632658442ab27e0ac0bd0429ec5a4fad58eab0c0a9f4c7f4cef2e8cfc7052ef7,receive,0x5d9e2339a748cd1a44e01304840263d6e294fd9b,FTM,1
17/02/2023,03:15:47,eth,0x455541f42850bf96477a75b3bc20113f82339171703783ea68f379828f415f01,https://etherscan.io/tx/0x455541f42850bf96477a75b3bc20113f82339171703783ea68f379828f415f01,send,0x63bf3ad86c5d4d89557f3f9a879cfe031207eb93,ETH,-0.1
17/02/2023,03:17:23,eth,0x4355f442301f994aa75ff2dc5c2c603f8f21006eed612cce8467c72bdd21efdb,https://etherscan.io/tx/0x4355f442301f994aa75ff2dc5c2c603f8f21006eed612cce8467c72bdd21efdb,send,0x67ab75dadcc468fc25544a14328056ebafd0e33a,ETH,-0.1
