Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
15/05/2023,19:45:46,bsc,0xc084a0d5ba79272eac74a6e5879d12a14421bf303686d69ad9caf600e7910705,https://bscscan.com/tx/0xc084a0d5ba79272eac74a6e5879d12a14421bf303686d69ad9caf600e7910705,receive,0x044be3a3a543c1d5def294c159afdb57a46ab473,CGPT,380
26/12/2023,07:05:32,matic,0x85f9b5c063a4d73fefe146e6ec6d66619cb1bc6daf21cb1f1b89d127f2d1047b,https://polygonscan.com/tx/0x85f9b5c063a4d73fefe146e6ec6d66619cb1bc6daf21cb1f1b89d127f2d1047b,receive,0x05bcf5ef77b712df00224a359d574727c327b7cd,USDC,37.692882
10/12/2023,08:03:05,base,0x6e02508fa202b127af6f85cad79c45137663c8fe28702d648ca386854cf5abd9,https://www.basescan.org/tx/0x6e02508fa202b127af6f85cad79c45137663c8fe28702d648ca386854cf5abd9,receive,0x05bcf5ef77b712df00224a359d574727c327b7cd,ETH,0.0073
10/12/2023,08:00:29,base,0xb43d8859bdbe5b149d9f0964c525cf3a2959cf4a6493a5e2a68c7df64ba49c0a,https://www.basescan.org/tx/0xb43d8859bdbe5b149d9f0964c525cf3a2959cf4a6493a5e2a68c7df64ba49c0a,send,0x05bcf5ef77b712df00224a359d574727c327b7cd,ETH,-0.005
13/04/2023,01:43:30,matic,0x0a3d0e3e19e1a5f3e56ca5bb5374a8f9db669c96d187b12bd4cefd9b5933934d,https://polygonscan.com/tx/0x0a3d0e3e19e1a5f3e56ca5bb5374a8f9db669c96d187b12bd4cefd9b5933934d,send,0x05bcf5ef77b712df00224a359d574727c327b7cd,MATIC,-0.1
27/01/2024,09:02:43,bsc,0xc8b505454d4439881a63504e333ff353a6d0e1320d222fdd5c666c00bb900dc7,https://bscscan.com/tx/0xc8b505454d4439881a63504e333ff353a6d0e1320d222fdd5c666c00bb900dc7,send,0x08e208a0bc3668d737b5c3c9d6b1a3774bdc0e0c,USDT,-50
05/03/2023,19:05:31,matic,0xcb068a877c419f31777c2178e6ee9012b2bf3b5873c2002c443c0c52934b476b,https://polygonscan.com/tx/0xcb068a877c419f31777c2178e6ee9012b2bf3b5873c2002c443c0c52934b476b,send,0x08e208a0bc3668d737b5c3c9d6b1a3774bdc0e0c,BOB,-19.9
28/09/2022,04:18:51,evmos,0x770fa1dcf0b96b7c760904de6b796fb644d3da3cb1aefd63668c59df6c8d972b,https://escan.live/tx/0x770fa1dcf0b96b7c760904de6b796fb644d3da3cb1aefd63668c59df6c8d972b,receive,0x08e208a0bc3668d737b5c3c9d6b1a3774bdc0e0c,EVMOS,7
09/11/2022,18:41:33,bsc,0x5e99878487a173ba95da104dd8918e50239a9d962b7db5d80ce05c36596c38f3,https://bscscan.com/tx/0x5e99878487a173ba95da104dd8918e50239a9d962b7db5d80ce05c36596c38f3,receive,0x0f39c64b1dbddb6cde94ec7083962e711324dd5b,BUSD,50
18/11/2021,15:35:59,matic,0xe3c6839b09a5972244d37ba15184d08e33e8f7e2ac78cbda124bcf5c9423763d,https://polygonscan.com/tx/0xe3c6839b09a5972244d37ba15184d08e33e8f7e2ac78cbda124bcf5c9423763d,receive,0x143f8cfb7e91b7836d90a06fe0e2cf8728d61fb0,LICP,100
28/12/2023,22:43:25,bsc,0x7179e670c5be18dd473c47e5a2539462d541cd480c6b18dbaf97a4b09ed55721,https://bscscan.com/tx/0x7179e670c5be18dd473c47e5a2539462d541cd480c6b18dbaf97a4b09ed55721,receive,0x2392b11f851d8807b4f0cb4bd540940957c47638,USDT,15
08/04/2024,00:24:01,matic,0x5cf8b1ebab1d51bb92843d9a7246b902301a464212b8ee343197a055216cb0dd,https://polygonscan.com/tx/0x5cf8b1ebab1d51bb92843d9a7246b902301a464212b8ee343197a055216cb0dd,receive,0x2c053da177fc0b87f87d812a643f3205e79e16ea,USDC,25
13/01/2024,01:19:38,arb,0xf93a0c4267dd1a3e34754a76bc27a0a27db6d36b59a703d0361876d946c43ee6,https://arbiscan.io/tx/0xf93a0c4267dd1a3e34754a76bc27a0a27db6d36b59a703d0361876d946c43ee6,receive,0x2c053da177fc0b87f87d812a643f3205e79e16ea,USDC,25
05/01/2024,17:37:11,arb,0xf4a2007cee6d34462760e3a791cca97f5d361198ff6869b8dea5a99ee1a6a197,https://arbiscan.io/tx/0xf4a2007cee6d34462760e3a791cca97f5d361198ff6869b8dea5a99ee1a6a197,receive,0x2c053da177fc0b87f87d812a643f3205e79e16ea,USDC,25
13/05/2023,17:49:49,bsc,0xfede7e116aca1f22acd6e7bffbf9e4a3e7ba24c4720e630407bdfe76f8e25777,https://bscscan.com/tx/0xfede7e116aca1f22acd6e7bffbf9e4a3e7ba24c4720e630407bdfe76f8e25777,receive,0x3a99c208f903aa5071e24dbafb2d2484f94635b6,USDT,25
21/02/2024,08:38:36,matic,0xfa0c5114463db8339f9549594900e330817dc6d499fb7dc157d4cfd5d0059fb8,https://polygonscan.com/tx/0xfa0c5114463db8339f9549594900e330817dc6d499fb7dc157d4cfd5d0059fb8,send,0x3f3522e609caf3b3a840c8e43529f774b9bb4da9,MATIC,-1
16/11/2023,18:21:33,matic,0xdb0764980f7d42c50342dceae6d2a04a63627ae4502dc8930718d4c8ea5790e5,https://polygonscan.com/tx/0xdb0764980f7d42c50342dceae6d2a04a63627ae4502dc8930718d4c8ea5790e5,receive,0x5f6a5847fdc50f66284332f981da8a4cf15e07ae,MATIC,3
17/01/2023,20:58:35,eth,0x27198a239dbe731a1bc7ad7b2dbf3c3165713ce0b444a912ec792b7e879eae01,https://etherscan.io/tx/0x27198a239dbe731a1bc7ad7b2dbf3c3165713ce0b444a912ec792b7e879eae01,send,0x5f6a5847fdc50f66284332f981da8a4cf15e07ae,1INCH,-50
18/12/2022,05:00:35,eth,0xcbd03470287d1f42abed10110705bf2f77dcd6574d8e2aa865b21dd5fd04fba0,https://etherscan.io/tx/0xcbd03470287d1f42abed10110705bf2f77dcd6574d8e2aa865b21dd5fd04fba0,receive,0x5f6a5847fdc50f66284332f981da8a4cf15e07ae,ETH,0.003
10/10/2022,06:01:58,matic,0xde78078f6164229bbc4883ff178470efd61fe9f954ac29a3bcbea7cacf767fa1,https://polygonscan.com/tx/0xde78078f6164229bbc4883ff178470efd61fe9f954ac29a3bcbea7cacf767fa1,send,0x5f6a5847fdc50f66284332f981da8a4cf15e07ae,MATIC,-0.1
28/09/2022,04:48:00,evmos,0xee39507cd6c3abb62890bab4b79ff0b2b1d6cc1a5dded554d4766ec3b626de05,https://escan.live/tx/0xee39507cd6c3abb62890bab4b79ff0b2b1d6cc1a5dded554d4766ec3b626de05,send,0x5f6a5847fdc50f66284332f981da8a4cf15e07ae,EVMOS,-3
23/12/2022,11:52:23,eth,0x44f35cba2bed15932e9b0125855e124a103f47428fd18ae8940ab830684347fc,https://etherscan.io/tx/0x44f35cba2bed15932e9b0125855e124a103f47428fd18ae8940ab830684347fc,receive,0x5fa58f29c6138c07c2f9e9d0066f774a7ca3b7df,PENDLE,2128
25/09/2023,17:17:54,arb,0xadb785caace68f8c15b517600a283675fc7b2fe747e31094628f0d472881b977,https://arbiscan.io/tx/0xadb785caace68f8c15b517600a283675fc7b2fe747e31094628f0d472881b977,receive,0x77a8bdc99112c4ec544d8ce46960683443f624f0,fUSDC,50
08/03/2024,07:37:34,linea,0x26db0c0ff1cc8bf3812aa575e35f5a42dcc4a50d5ef2127bef6a7ff09635c2e8,https://lineascan.build/tx/0x26db0c0ff1cc8bf3812aa575e35f5a42dcc4a50d5ef2127bef6a7ff09635c2e8,receive,0x78081f19053b85b2e32f979a5e89375a939508a8,ETH,0.0001
03/01/2024,00:54:32,zkfair,0xbcb579503f70c2fea025b38f31861cb0a667d7756dee10362bda106e0768b78f,https://scan.zkfair.io/tx/0xbcb579503f70c2fea025b38f31861cb0a667d7756dee10362bda106e0768b78f,receive,0x93d58e06d3a8f7bc1ea26a7b999e02dd663df2c2,ZKF,8056.280647578716
