Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
17/04/2024,03:03:34,arb,0x36eb139b0ca5be999a068b962cc680018c4b0504b877c71f4b24f827c31a7de5,https://arbiscan.io/tx/0x36eb139b0ca5be999a068b962cc680018c4b0504b877c71f4b24f827c31a7de5,send,0x000000a679c2fb345ddefbae3c42bee92c0fb7a5,ARB,-200
19/02/2023,17:46:11,eth,0xf83fb1fcede40d5cf27e07798aa74d143504e1c1c0e1743713cc49e0e6bd1300,https://etherscan.io/tx/0xf83fb1fcede40d5cf27e07798aa74d143504e1c1c0e1743713cc49e0e6bd1300,send,0x071ed57c7acf06ca6f1c4021262cb64662bece27,ETH,-0.0031
25/10/2021,17:39:01,matic,0x94cb05c68411c4b2533b141032ae77bb8c04d2104dee28f0b6ba474fd0c10f32,https://polygonscan.com/tx/0x94cb05c68411c4b2533b141032ae77bb8c04d2104dee28f0b6ba474fd0c10f32,send,0x071ed57c7acf06ca6f1c4021262cb64662bece27,REVVM,-2
24/11/2022,19:17:00,op,0x508547d9254b8ed1b2b625a5b130c5a968fe65fa409eafa05540e567ca70ebc5,https://optimistic.etherscan.io/tx/0x508547d9254b8ed1b2b625a5b130c5a968fe65fa409eafa05540e567ca70ebc5,send,0x109107ef557811122926ef0f561a4cf9b0d3889e,ETH,-0.001
26/10/2021,18:42:12,eth,0x1ab7abc6f2a510bfa9cdd3ce0ef1c82bf8d416ef85ef5eea7b0a100abecb6cc1,https://etherscan.io/tx/0x1ab7abc6f2a510bfa9cdd3ce0ef1c82bf8d416ef85ef5eea7b0a100abecb6cc1,receive,0x109107ef557811122926ef0f561a4cf9b0d3889e,ETH,0.0275
26/10/2021,18:40:11,eth,0x5784f08b5407f3c03dd0db5332cda3d629894101cf65e49db788e667ae13503f,https://etherscan.io/tx/0x5784f08b5407f3c03dd0db5332cda3d629894101cf65e49db788e667ae13503f,receive,0x109107ef557811122926ef0f561a4cf9b0d3889e,DAR,1
26/10/2021,18:39:11,eth,0x999761d52b985786a5459e2cf1049ff61a56892770b47d545acdafb6d85ab2e6,https://etherscan.io/tx/0x999761d52b985786a5459e2cf1049ff61a56892770b47d545acdafb6d85ab2e6,send,0x109107ef557811122926ef0f561a4cf9b0d3889e,ETH,-0.026
25/10/2023,21:40:59,eth,0x2d4189cb571b2286ea58dd3ac2271b1b040e5e10b2c9b84915d160140c42792c,https://etherscan.io/tx/0x2d4189cb571b2286ea58dd3ac2271b1b040e5e10b2c9b84915d160140c42792c,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,1.471
03/07/2023,17:30:11,eth,0x51591632190f96968ca426283b546b52e820a57789b36f878026796fb66f9e36,https://etherscan.io/tx/0x51591632190f96968ca426283b546b52e820a57789b36f878026796fb66f9e36,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,1.11
25/04/2023,19:40:11,eth,0x042f13f49eea7e1a88401945ce40a1d59d780e7c8f0ad3677d4ad72ab37b9d0d,https://etherscan.io/tx/0x042f13f49eea7e1a88401945ce40a1d59d780e7c8f0ad3677d4ad72ab37b9d0d,send,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,-0.1
04/04/2023,04:07:47,eth,0xbeb516ccaf6693fbffed89f6f50b43d723b9c55b077595ce6f525c78e1fc7fde,https://etherscan.io/tx/0xbeb516ccaf6693fbffed89f6f50b43d723b9c55b077595ce6f525c78e1fc7fde,send,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,-0.05
24/03/2023,05:22:11,eth,0x92e983281e554ae318d9589a9bec07ecb4fc3cffcb1ba7bd545998be20b3d8f0,https://etherscan.io/tx/0x92e983281e554ae318d9589a9bec07ecb4fc3cffcb1ba7bd545998be20b3d8f0,send,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,-1.01
18/03/2023,17:39:23,eth,0x4e0e87864d10e9861120ae1b8466b17b64058754620a8c73a07eacbde81a4008,https://etherscan.io/tx/0x4e0e87864d10e9861120ae1b8466b17b64058754620a8c73a07eacbde81a4008,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,1
11/03/2023,17:43:47,eth,0x138fb039ef40c1f12a755aeb3c9a60dece25c3de474005d1519bd1caa364eef9,https://etherscan.io/tx/0x138fb039ef40c1f12a755aeb3c9a60dece25c3de474005d1519bd1caa364eef9,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,0.85
06/03/2023,03:39:11,eth,0x63269a5e74b702f2c0b3a561612d6d17e00c3aa89686843bf7a0e568450f0fef,https://etherscan.io/tx/0x63269a5e74b702f2c0b3a561612d6d17e00c3aa89686843bf7a0e568450f0fef,send,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,-0.35
05/03/2023,21:37:59,eth,0x667a4bd7e4a3a7b776d0542318abce7eac3384f5b484485db5d3e3c86d13e9ec,https://etherscan.io/tx/0x667a4bd7e4a3a7b776d0542318abce7eac3384f5b484485db5d3e3c86d13e9ec,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,0.35
04/03/2023,19:09:47,eth,0x58fa799dbb22618ea70bfc17db6e1757170978d2a24e83ec77ab76c4e230d872,https://etherscan.io/tx/0x58fa799dbb22618ea70bfc17db6e1757170978d2a24e83ec77ab76c4e230d872,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,0.15
27/02/2023,05:20:47,eth,0xfbd7c389f8e8d7a4ea80c857684745dcccec3c20952892157025153d852d7aea,https://etherscan.io/tx/0xfbd7c389f8e8d7a4ea80c857684745dcccec3c20952892157025153d852d7aea,send,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,-0.07
26/02/2023,17:44:23,eth,0xefe8fc3411d6374840aaeec4466036e724a1b01e9d39f2c8dd3105866c771452,https://etherscan.io/tx/0xefe8fc3411d6374840aaeec4466036e724a1b01e9d39f2c8dd3105866c771452,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,0.02
25/02/2023,23:31:59,eth,0x8fd75af95dcc4d76ee8e9a93509afbf3ceeb8901f28bae044b996792ee7c9bd9,https://etherscan.io/tx/0x8fd75af95dcc4d76ee8e9a93509afbf3ceeb8901f28bae044b996792ee7c9bd9,receive,0x13834c49136b30c6f5056b40fe278426cfcf34cf,ETH,0.05
