Date,Time,Chain,Tx hash,Link,Tx type,Related addr,Asset,Amount
10/08/2022,00:37:54,evmos,0xd221c3cf16d3ca33cf52d4555abe0f9abb82d2009b3c943d086d2ab6b229d76c,https://escan.live/tx/0xd221c3cf16d3ca33cf52d4555abe0f9abb82d2009b3c943d086d2ab6b229d76c,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,EVMOS,-72
10/05/2022,14:52:09,arb,0x9a0ca9cec09ef507cc7dcf65d9a52980ea26e118698da7fa52803a76a38e2ce6,https://arbiscan.io/tx/0x9a0ca9cec09ef507cc7dcf65d9a52980ea26e118698da7fa52803a76a38e2ce6,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,ETH,-0.0774319455935602
09/05/2022,01:57:08,arb,0x66837f6da88c6842e935bb05f67a63ff3f759cdd04d63f09b2f1bc1f4ef26ca5,https://arbiscan.io/tx/0x66837f6da88c6842e935bb05f67a63ff3f759cdd04d63f09b2f1bc1f4ef26ca5,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,ETH,-0.019865323054996123
09/05/2022,01:48:33,arb,0xbaf96df522c2f1cbfbe67a516a13ff21b8c90fc10798a2ed9cfb15446bbe3183,https://arbiscan.io/tx/0xbaf96df522c2f1cbfbe67a516a13ff21b8c90fc10798a2ed9cfb15446bbe3183,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,USDC,-175.51815
02/05/2022,21:33:10,evmos,0xc65aaa13dd8baa799504c8dd4afdd35cd41d33f53ba6e885cb214fda5884480f,https://escan.live/tx/0xc65aaa13dd8baa799504c8dd4afdd35cd41d33f53ba6e885cb214fda5884480f,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,EVMOS,-13
02/05/2022,00:28:51,matic,0xba36bea294192493d5f0f5926a1205827dcf9db6ab8b57a94c6c1c408c2dc898,https://polygonscan.com/tx/0xba36bea294192493d5f0f5926a1205827dcf9db6ab8b57a94c6c1c408c2dc898,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,RBW,-32.80335013945466
03/04/2022,20:06:07,matic,0xd4bcc7c87a0587261de85f6bbe1affa2c5f475793ba80287b1a1ee1179bb8529,https://polygonscan.com/tx/0xd4bcc7c87a0587261de85f6bbe1affa2c5f475793ba80287b1a1ee1179bb8529,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,RBW,-14.254657831176935
26/03/2022,13:28:35,matic,0x08c3267fdb00653ab8c0d79a22cd0b4b9f5b6f57a8161bba71246aa0104a15d6,https://polygonscan.com/tx/0x08c3267fdb00653ab8c0d79a22cd0b4b9f5b6f57a8161bba71246aa0104a15d6,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,UNIM,-390
26/03/2022,13:28:15,matic,0xa368d5b5335fae44f1bd8dee9f786722888ee7f7f38df50749762e82fec822a1,https://polygonscan.com/tx/0xa368d5b5335fae44f1bd8dee9f786722888ee7f7f38df50749762e82fec822a1,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,RBW,-215.92825501532852
06/01/2022,22:48:13,bsc,0x0d596d54e2e5e3cffce54090b061d3095f53cc4211b76eacd347765f3381ce5c,https://bscscan.com/tx/0x0d596d54e2e5e3cffce54090b061d3095f53cc4211b76eacd347765f3381ce5c,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,BNB,-0.02873556
04/01/2022,02:57:07,matic,0xc14c7e9c987ef4bd3bfcc7c0ff14f621a52da04f029085e0d0e656325bb3586d,https://polygonscan.com/tx/0xc14c7e9c987ef4bd3bfcc7c0ff14f621a52da04f029085e0d0e656325bb3586d,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,1.8920944021476689
02/01/2022,15:52:34,bsc,0xc687ecac12cb56e5cf831685648d3882b4c51da0bf61b198468efbe24f293391,https://bscscan.com/tx/0xc687ecac12cb56e5cf831685648d3882b4c51da0bf61b198468efbe24f293391,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,BNB,-0.05120222721402822
02/01/2022,15:51:25,bsc,0xfb9df96d7444e0fe02a5b67648b21b8b1919797dc1f420240219426b26e8200c,https://bscscan.com/tx/0xfb9df96d7444e0fe02a5b67648b21b8b1919797dc1f420240219426b26e8200c,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,USDC,-1094.5758761290185
02/01/2022,01:20:53,matic,0x31e574cab6fbfc2ff01f64d655db9b59bd0b67dc0fc66573c7a3c903eb35ea3f,https://polygonscan.com/tx/0x31e574cab6fbfc2ff01f64d655db9b59bd0b67dc0fc66573c7a3c903eb35ea3f,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-13.764464181771759
02/01/2022,01:03:15,eth,0x3a8e3020fa523a435cf0cbb56271c76fe485fd4add21c0d62fa62e0c66cc2d90,https://etherscan.io/tx/0x3a8e3020fa523a435cf0cbb56271c76fe485fd4add21c0d62fa62e0c66cc2d90,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,ETH,-0.037699596562752576
25/12/2021,20:42:58,eth,0x927e064c7253f13c36188c07af700ae0f4c912c27ef652d4877703eb4792ef1c,https://etherscan.io/tx/0x927e064c7253f13c36188c07af700ae0f4c912c27ef652d4877703eb4792ef1c,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,ETH,-0.168186054911715
25/12/2021,17:49:26,eth,0x8080b2a22912441c86000cbdd3de994c3e05e4311119a0119dec2df573a1524e,https://etherscan.io/tx/0x8080b2a22912441c86000cbdd3de994c3e05e4311119a0119dec2df573a1524e,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,ETH,-0.17118937469004217
17/12/2021,00:03:24,matic,0x236d61a5d0259939fb99c6fafa70e40767236cbb79bef701684006d7960ed300,https://polygonscan.com/tx/0x236d61a5d0259939fb99c6fafa70e40767236cbb79bef701684006d7960ed300,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-3.454013602916016
16/12/2021,23:57:38,matic,0x2e890075b61a5326535c474ae761265dff26a6053ae11fc6b83ab56f688fb436,https://polygonscan.com/tx/0x2e890075b61a5326535c474ae761265dff26a6053ae11fc6b83ab56f688fb436,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,IDEX,-429.59508376
03/12/2021,22:44:22,matic,0x29b3dea4cdde2a181a4158b5154d5788cb80abd009baea2b1557dbcb7cb2e3c7,https://polygonscan.com/tx/0x29b3dea4cdde2a181a4158b5154d5788cb80abd009baea2b1557dbcb7cb2e3c7,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-40.518134420599
03/12/2021,22:43:20,matic,0xbb374f65066f3a60dde152526787ab17eea586f316206d31b98ab8306dccee26,https://polygonscan.com/tx/0xbb374f65066f3a60dde152526787ab17eea586f316206d31b98ab8306dccee26,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,USDC,-2620.936265
30/11/2021,04:18:10,xdai,0xd0a60b4afe4e50442e227ffd7b589c9af870542ee76ed71925b4b3ea013aa48c,https://gnosisscan.io/tx/0xd0a60b4afe4e50442e227ffd7b589c9af870542ee76ed71925b4b3ea013aa48c,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,xDai,-4.368493501572668
30/11/2021,04:03:31,matic,0x2d091340d208066ef674fc3aad248bcde91dfcd8e04a1f5a5058f06d040546a0,https://polygonscan.com/tx/0x2d091340d208066ef674fc3aad248bcde91dfcd8e04a1f5a5058f06d040546a0,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-10.214110738914364
30/11/2021,03:33:31,matic,0x49ba0b75de4f564bdfa1b7dcce62397f5d57f0e94853d564d6cf2af7f52b4d0b,https://polygonscan.com/tx/0x49ba0b75de4f564bdfa1b7dcce62397f5d57f0e94853d564d6cf2af7f52b4d0b,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,USDC,-80.151252
23/11/2021,22:23:50,matic,0x998a91d95cc56b8375f899f15a9a21072987aa6244c30e7d8a4060359891c213,https://polygonscan.com/tx/0x998a91d95cc56b8375f899f15a9a21072987aa6244c30e7d8a4060359891c213,receive,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,102.10237767792057
14/11/2021,17:07:35,matic,0xb6f4319cb38ce3d651f533e00a20c8d8b65805e3cab3784d460f6876c80696b4,https://polygonscan.com/tx/0xb6f4319cb38ce3d651f533e00a20c8d8b65805e3cab3784d460f6876c80696b4,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-44.29950780200883
04/11/2021,18:44:06,matic,0xfe0cfb7ee6e1239d90ad83b1fc5af6398897183ad8dfe4e586389bc0b4fcb9a6,https://polygonscan.com/tx/0xfe0cfb7ee6e1239d90ad83b1fc5af6398897183ad8dfe4e586389bc0b4fcb9a6,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,MATIC,-10.908571757995125
01/11/2021,11:42:09,bsc,0x3aaea38af9021101c6f11db8bca4556e7673b6ae3f4c4be4ea24e5697795b7b6,https://bscscan.com/tx/0x3aaea38af9021101c6f11db8bca4556e7673b6ae3f4c4be4ea24e5697795b7b6,send,0x082677a0ea5566b3e6b65af9dfb61f17aa7b73d5,BNB,-0.24425645939818333
